aug_kl   AUC 0.5877, Accuracy 0.5845, TPR@5% FPR of 0.0811
ppl   AUC 0.5039, Accuracy 0.5203, TPR@5% FPR of 0.0608
Min_0% Prob   AUC 0.5079, Accuracy 0.5253, TPR@5% FPR of 0.0439
Min_5.0% Prob   AUC 0.5079, Accuracy 0.5253, TPR@5% FPR of 0.0439
Min_10.0% Prob   AUC 0.5008, Accuracy 0.5270, TPR@5% FPR of 0.0473
Min_20.0% Prob   AUC 0.4972, Accuracy 0.5152, TPR@5% FPR of 0.0507
Min_30.0% Prob   AUC 0.4953, Accuracy 0.5152, TPR@5% FPR of 0.0439
Min_40.0% Prob   AUC 0.4964, Accuracy 0.5152, TPR@5% FPR of 0.0439
Min_50.0% Prob   AUC 0.5002, Accuracy 0.5152, TPR@5% FPR of 0.0473
Min_60.0% Prob   AUC 0.5018, Accuracy 0.5169, TPR@5% FPR of 0.0541
Min_70.0% Prob   AUC 0.5030, Accuracy 0.5203, TPR@5% FPR of 0.0608
Min_80.0% Prob   AUC 0.5032, Accuracy 0.5186, TPR@5% FPR of 0.0608
Min_90.0% Prob   AUC 0.5029, Accuracy 0.5169, TPR@5% FPR of 0.0608
Modified_entropy   AUC 0.5004, Accuracy 0.5169, TPR@5% FPR of 0.0473
Modified_renyi_05   AUC 0.5005, Accuracy 0.5203, TPR@5% FPR of 0.0507
Modified_renyi_2   AUC 0.5016, Accuracy 0.5203, TPR@5% FPR of 0.0507
Max_Prob_Gap   AUC 0.5097, Accuracy 0.5220, TPR@5% FPR of 0.0405
Max_0% renyi_05   AUC 0.5111, Accuracy 0.5270, TPR@5% FPR of 0.0507
Max_0% renyi_1   AUC 0.5231, Accuracy 0.5270, TPR@5% FPR of 0.0676
Max_0% renyi_2   AUC 0.5165, Accuracy 0.5253, TPR@5% FPR of 0.0608
Max_0% renyi_inf   AUC 0.5079, Accuracy 0.5253, TPR@5% FPR of 0.0439
Max_5.0% renyi_05   AUC 0.5111, Accuracy 0.5270, TPR@5% FPR of 0.0507
Max_5.0% renyi_1   AUC 0.5231, Accuracy 0.5270, TPR@5% FPR of 0.0676
Max_5.0% renyi_2   AUC 0.5165, Accuracy 0.5253, TPR@5% FPR of 0.0608
Max_5.0% renyi_inf   AUC 0.5079, Accuracy 0.5253, TPR@5% FPR of 0.0439
Max_10.0% renyi_05   AUC 0.5106, Accuracy 0.5220, TPR@5% FPR of 0.0608
Max_10.0% renyi_1   AUC 0.5125, Accuracy 0.5220, TPR@5% FPR of 0.0608
Max_10.0% renyi_2   AUC 0.5106, Accuracy 0.5270, TPR@5% FPR of 0.0507
Max_10.0% renyi_inf   AUC 0.5008, Accuracy 0.5270, TPR@5% FPR of 0.0473
Max_20.0% renyi_05   AUC 0.5124, Accuracy 0.5304, TPR@5% FPR of 0.0541
Max_20.0% renyi_1   AUC 0.5120, Accuracy 0.5372, TPR@5% FPR of 0.0473
Max_20.0% renyi_2   AUC 0.5066, Accuracy 0.5287, TPR@5% FPR of 0.0507
Max_20.0% renyi_inf   AUC 0.4970, Accuracy 0.5152, TPR@5% FPR of 0.0507
Max_30.0% renyi_05   AUC 0.5161, Accuracy 0.5338, TPR@5% FPR of 0.0574
Max_30.0% renyi_1   AUC 0.5140, Accuracy 0.5389, TPR@5% FPR of 0.0439
Max_30.0% renyi_2   AUC 0.5061, Accuracy 0.5270, TPR@5% FPR of 0.0473
Max_30.0% renyi_inf   AUC 0.4950, Accuracy 0.5152, TPR@5% FPR of 0.0439
Max_40.0% renyi_05   AUC 0.5188, Accuracy 0.5338, TPR@5% FPR of 0.0608
Max_40.0% renyi_1   AUC 0.5161, Accuracy 0.5372, TPR@5% FPR of 0.0439
Max_40.0% renyi_2   AUC 0.5058, Accuracy 0.5236, TPR@5% FPR of 0.0405
Max_40.0% renyi_inf   AUC 0.4960, Accuracy 0.5152, TPR@5% FPR of 0.0439
Max_50.0% renyi_05   AUC 0.5186, Accuracy 0.5389, TPR@5% FPR of 0.0541
Max_50.0% renyi_1   AUC 0.5154, Accuracy 0.5372, TPR@5% FPR of 0.0473
Max_50.0% renyi_2   AUC 0.5081, Accuracy 0.5287, TPR@5% FPR of 0.0439
Max_50.0% renyi_inf   AUC 0.4998, Accuracy 0.5152, TPR@5% FPR of 0.0473
Max_60.0% renyi_05   AUC 0.5177, Accuracy 0.5338, TPR@5% FPR of 0.0473
Max_60.0% renyi_1   AUC 0.5147, Accuracy 0.5389, TPR@5% FPR of 0.0405
Max_60.0% renyi_2   AUC 0.5092, Accuracy 0.5287, TPR@5% FPR of 0.0473
Max_60.0% renyi_inf   AUC 0.5015, Accuracy 0.5169, TPR@5% FPR of 0.0541
Max_70.0% renyi_05   AUC 0.5178, Accuracy 0.5304, TPR@5% FPR of 0.0507
Max_70.0% renyi_1   AUC 0.5161, Accuracy 0.5422, TPR@5% FPR of 0.0372
Max_70.0% renyi_2   AUC 0.5101, Accuracy 0.5287, TPR@5% FPR of 0.0507
Max_70.0% renyi_inf   AUC 0.5027, Accuracy 0.5203, TPR@5% FPR of 0.0608
Max_80.0% renyi_05   AUC 0.5175, Accuracy 0.5338, TPR@5% FPR of 0.0439
Max_80.0% renyi_1   AUC 0.5174, Accuracy 0.5355, TPR@5% FPR of 0.0372
Max_80.0% renyi_2   AUC 0.5104, Accuracy 0.5270, TPR@5% FPR of 0.0473
Max_80.0% renyi_inf   AUC 0.5030, Accuracy 0.5186, TPR@5% FPR of 0.0608
Max_90.0% renyi_05   AUC 0.5164, Accuracy 0.5355, TPR@5% FPR of 0.0405
Max_90.0% renyi_1   AUC 0.5179, Accuracy 0.5372, TPR@5% FPR of 0.0372
Max_90.0% renyi_2   AUC 0.5100, Accuracy 0.5220, TPR@5% FPR of 0.0439
Max_90.0% renyi_inf   AUC 0.5027, Accuracy 0.5169, TPR@5% FPR of 0.0608
Max_100% renyi_05   AUC 0.5180, Accuracy 0.5355, TPR@5% FPR of 0.0405
Max_100% renyi_1   AUC 0.5187, Accuracy 0.5389, TPR@5% FPR of 0.0372
Max_100% renyi_2   AUC 0.5110, Accuracy 0.5236, TPR@5% FPR of 0.0439
