aug_kl   AUC 0.3944, Accuracy 0.5000, TPR@5% FPR of 0.0135
ppl   AUC 0.5242, Accuracy 0.5405, TPR@5% FPR of 0.0439
Min_0% Prob   AUC 0.5223, Accuracy 0.5405, TPR@5% FPR of 0.1081
Min_5.0% Prob   AUC 0.6323, Accuracy 0.6014, TPR@5% FPR of 0.1926
Min_10.0% Prob   AUC 0.6537, Accuracy 0.6250, TPR@5% FPR of 0.2128
Min_20.0% Prob   AUC 0.6376, Accuracy 0.6182, TPR@5% FPR of 0.1554
Min_30.0% Prob   AUC 0.6050, Accuracy 0.5912, TPR@5% FPR of 0.0845
Min_40.0% Prob   AUC 0.5790, Accuracy 0.5726, TPR@5% FPR of 0.0709
Min_50.0% Prob   AUC 0.5604, Accuracy 0.5591, TPR@5% FPR of 0.0608
Min_60.0% Prob   AUC 0.5484, Accuracy 0.5439, TPR@5% FPR of 0.0541
Min_70.0% Prob   AUC 0.5382, Accuracy 0.5372, TPR@5% FPR of 0.0574
Min_80.0% Prob   AUC 0.5312, Accuracy 0.5439, TPR@5% FPR of 0.0541
Min_90.0% Prob   AUC 0.5262, Accuracy 0.5405, TPR@5% FPR of 0.0473
Modified_entropy   AUC 0.5273, Accuracy 0.5405, TPR@5% FPR of 0.0507
Modified_renyi_05   AUC 0.5062, Accuracy 0.5355, TPR@5% FPR of 0.0236
Modified_renyi_2   AUC 0.4946, Accuracy 0.5355, TPR@5% FPR of 0.0101
Max_Prob_Gap   AUC 0.5184, Accuracy 0.5372, TPR@5% FPR of 0.0372
Max_0% renyi_05   AUC 0.5377, Accuracy 0.5422, TPR@5% FPR of 0.0811
Max_0% renyi_1   AUC 0.5575, Accuracy 0.5557, TPR@5% FPR of 0.0912
Max_0% renyi_2   AUC 0.5119, Accuracy 0.5405, TPR@5% FPR of 0.1149
Max_0% renyi_inf   AUC 0.5223, Accuracy 0.5405, TPR@5% FPR of 0.1081
Max_5.0% renyi_05   AUC 0.5210, Accuracy 0.5389, TPR@5% FPR of 0.0642
Max_5.0% renyi_1   AUC 0.5732, Accuracy 0.5709, TPR@5% FPR of 0.1351
Max_5.0% renyi_2   AUC 0.6050, Accuracy 0.5963, TPR@5% FPR of 0.1791
Max_5.0% renyi_inf   AUC 0.6323, Accuracy 0.6014, TPR@5% FPR of 0.1926
Max_10.0% renyi_05   AUC 0.5520, Accuracy 0.5541, TPR@5% FPR of 0.0878
Max_10.0% renyi_1   AUC 0.5927, Accuracy 0.5811, TPR@5% FPR of 0.1723
Max_10.0% renyi_2   AUC 0.6379, Accuracy 0.6199, TPR@5% FPR of 0.2095
Max_10.0% renyi_inf   AUC 0.6537, Accuracy 0.6250, TPR@5% FPR of 0.2128
Max_20.0% renyi_05   AUC 0.5715, Accuracy 0.5726, TPR@5% FPR of 0.0777
Max_20.0% renyi_1   AUC 0.5992, Accuracy 0.5912, TPR@5% FPR of 0.1115
Max_20.0% renyi_2   AUC 0.6319, Accuracy 0.6284, TPR@5% FPR of 0.1385
Max_20.0% renyi_inf   AUC 0.6376, Accuracy 0.6182, TPR@5% FPR of 0.1554
Max_30.0% renyi_05   AUC 0.5254, Accuracy 0.5507, TPR@5% FPR of 0.0034
Max_30.0% renyi_1   AUC 0.5336, Accuracy 0.5507, TPR@5% FPR of 0.0135
Max_30.0% renyi_2   AUC 0.5845, Accuracy 0.5811, TPR@5% FPR of 0.0811
Max_30.0% renyi_inf   AUC 0.6050, Accuracy 0.5912, TPR@5% FPR of 0.0845
Max_40.0% renyi_05   AUC 0.4643, Accuracy 0.5253, TPR@5% FPR of 0.0034
Max_40.0% renyi_1   AUC 0.4831, Accuracy 0.5287, TPR@5% FPR of 0.0034
Max_40.0% renyi_2   AUC 0.5515, Accuracy 0.5456, TPR@5% FPR of 0.0507
Max_40.0% renyi_inf   AUC 0.5790, Accuracy 0.5726, TPR@5% FPR of 0.0709
Max_50.0% renyi_05   AUC 0.4275, Accuracy 0.5253, TPR@5% FPR of 0.0034
Max_50.0% renyi_1   AUC 0.4611, Accuracy 0.5321, TPR@5% FPR of 0.0034
Max_50.0% renyi_2   AUC 0.5323, Accuracy 0.5389, TPR@5% FPR of 0.0304
Max_50.0% renyi_inf   AUC 0.5604, Accuracy 0.5591, TPR@5% FPR of 0.0608
Max_60.0% renyi_05   AUC 0.4077, Accuracy 0.5304, TPR@5% FPR of 0.0034
Max_60.0% renyi_1   AUC 0.4506, Accuracy 0.5321, TPR@5% FPR of 0.0034
Max_60.0% renyi_2   AUC 0.5200, Accuracy 0.5372, TPR@5% FPR of 0.0236
Max_60.0% renyi_inf   AUC 0.5484, Accuracy 0.5439, TPR@5% FPR of 0.0541
Max_70.0% renyi_05   AUC 0.3975, Accuracy 0.5270, TPR@5% FPR of 0.0034
Max_70.0% renyi_1   AUC 0.4446, Accuracy 0.5304, TPR@5% FPR of 0.0034
Max_70.0% renyi_2   AUC 0.5117, Accuracy 0.5389, TPR@5% FPR of 0.0236
Max_70.0% renyi_inf   AUC 0.5382, Accuracy 0.5372, TPR@5% FPR of 0.0574
Max_80.0% renyi_05   AUC 0.3939, Accuracy 0.5270, TPR@5% FPR of 0.0034
Max_80.0% renyi_1   AUC 0.4413, Accuracy 0.5304, TPR@5% FPR of 0.0000
Max_80.0% renyi_2   AUC 0.5068, Accuracy 0.5389, TPR@5% FPR of 0.0236
Max_80.0% renyi_inf   AUC 0.5312, Accuracy 0.5439, TPR@5% FPR of 0.0541
Max_90.0% renyi_05   AUC 0.3922, Accuracy 0.5236, TPR@5% FPR of 0.0034
Max_90.0% renyi_1   AUC 0.4394, Accuracy 0.5270, TPR@5% FPR of 0.0000
Max_90.0% renyi_2   AUC 0.5032, Accuracy 0.5389, TPR@5% FPR of 0.0203
Max_90.0% renyi_inf   AUC 0.5262, Accuracy 0.5405, TPR@5% FPR of 0.0473
Max_100% renyi_05   AUC 0.3895, Accuracy 0.5236, TPR@5% FPR of 0.0034
Max_100% renyi_1   AUC 0.4393, Accuracy 0.5253, TPR@5% FPR of 0.0000
Max_100% renyi_2   AUC 0.5024, Accuracy 0.5405, TPR@5% FPR of 0.0203
Max_100% renyi_inf   AUC 0.5242, Accuracy 0.5405, TPR@5% FPR of 0.0439
Min_0% renyi_05   AUC 0.5425, Accuracy 0.5777, TPR@5% FPR of 0.0203
Min_0% renyi_1   AUC 0.5171, Accuracy 0.5507, TPR@5% FPR of 0.0405
Min_0% renyi_2   AUC 0.5103, Accuracy 0.5439, TPR@5% FPR of 0.0439
Min_0% renyi_inf   AUC 0.5101, Accuracy 0.5456, TPR@5% FPR of 0.0439
Min_5.0% renyi_05   AUC 0.4399, Accuracy 0.5186, TPR@5% FPR of 0.0135
Min_5.0% renyi_1   AUC 0.4956, Accuracy 0.5389, TPR@5% FPR of 0.0236
Min_5.0% renyi_2   AUC 0.5191, Accuracy 0.5422, TPR@5% FPR of 0.0270
Min_5.0% renyi_inf   AUC 0.5182, Accuracy 0.5507, TPR@5% FPR of 0.0270
Min_10.0% renyi_05   AUC 0.4219, Accuracy 0.5152, TPR@5% FPR of 0.0203
Min_10.0% renyi_1   AUC 0.4760, Accuracy 0.5372, TPR@5% FPR of 0.0236
Min_10.0% renyi_2   AUC 0.5040, Accuracy 0.5389, TPR@5% FPR of 0.0236
Min_10.0% renyi_inf   AUC 0.5008, Accuracy 0.5405, TPR@5% FPR of 0.0304
Min_20.0% renyi_05   AUC 0.4078, Accuracy 0.5135, TPR@5% FPR of 0.0169
Min_20.0% renyi_1   AUC 0.4521, Accuracy 0.5236, TPR@5% FPR of 0.0169
Min_20.0% renyi_2   AUC 0.4850, Accuracy 0.5355, TPR@5% FPR of 0.0135
Min_20.0% renyi_inf   AUC 0.4823, Accuracy 0.5389, TPR@5% FPR of 0.0101
Min_30.0% renyi_05   AUC 0.3988, Accuracy 0.5186, TPR@5% FPR of 0.0135
Min_30.0% renyi_1   AUC 0.4414, Accuracy 0.5220, TPR@5% FPR of 0.0135
Min_30.0% renyi_2   AUC 0.4726, Accuracy 0.5304, TPR@5% FPR of 0.0068
Min_30.0% renyi_inf   AUC 0.4723, Accuracy 0.5355, TPR@5% FPR of 0.0068
Min_40.0% renyi_05   AUC 0.3899, Accuracy 0.5253, TPR@5% FPR of 0.0101
Min_40.0% renyi_1   AUC 0.4333, Accuracy 0.5220, TPR@5% FPR of 0.0135
Min_40.0% renyi_2   AUC 0.4641, Accuracy 0.5287, TPR@5% FPR of 0.0101
Min_40.0% renyi_inf   AUC 0.4656, Accuracy 0.5304, TPR@5% FPR of 0.0101
Min_50.0% renyi_05   AUC 0.3824, Accuracy 0.5203, TPR@5% FPR of 0.0034
Min_50.0% renyi_1   AUC 0.4276, Accuracy 0.5236, TPR@5% FPR of 0.0135
Min_50.0% renyi_2   AUC 0.4609, Accuracy 0.5321, TPR@5% FPR of 0.0101
Min_50.0% renyi_inf   AUC 0.4655, Accuracy 0.5304, TPR@5% FPR of 0.0101
Min_60.0% renyi_05   AUC 0.3764, Accuracy 0.5236, TPR@5% FPR of 0.0034
Min_60.0% renyi_1   AUC 0.4221, Accuracy 0.5287, TPR@5% FPR of 0.0034
Min_60.0% renyi_2   AUC 0.4592, Accuracy 0.5321, TPR@5% FPR of 0.0101
Min_60.0% renyi_inf   AUC 0.4686, Accuracy 0.5338, TPR@5% FPR of 0.0101
Min_70.0% renyi_05   AUC 0.3762, Accuracy 0.5253, TPR@5% FPR of 0.0034
Min_70.0% renyi_1   AUC 0.4226, Accuracy 0.5287, TPR@5% FPR of 0.0034
Min_70.0% renyi_2   AUC 0.4663, Accuracy 0.5355, TPR@5% FPR of 0.0068
Min_70.0% renyi_inf   AUC 0.4775, Accuracy 0.5338, TPR@5% FPR of 0.0135
Min_80.0% renyi_05   AUC 0.3803, Accuracy 0.5253, TPR@5% FPR of 0.0034
Min_80.0% renyi_1   AUC 0.4285, Accuracy 0.5287, TPR@5% FPR of 0.0000
Min_80.0% renyi_2   AUC 0.4799, Accuracy 0.5355, TPR@5% FPR of 0.0000
Min_80.0% renyi_inf   AUC 0.4934, Accuracy 0.5372, TPR@5% FPR of 0.0101
Min_90.0% renyi_05   AUC 0.3856, Accuracy 0.5253, TPR@5% FPR of 0.0034
Min_90.0% renyi_1   AUC 0.4354, Accuracy 0.5253, TPR@5% FPR of 0.0000
Min_90.0% renyi_2   AUC 0.4947, Accuracy 0.5389, TPR@5% FPR of 0.0135
Min_90.0% renyi_inf   AUC 0.5112, Accuracy 0.5389, TPR@5% FPR of 0.0068
Min_100% renyi_05   AUC 0.3895, Accuracy 0.5236, TPR@5% FPR of 0.0034
Min_100% renyi_1   AUC 0.4393, Accuracy 0.5253, TPR@5% FPR of 0.0000
Min_100% renyi_2   AUC 0.5024, Accuracy 0.5405, TPR@5% FPR of 0.0203
Min_100% renyi_inf   AUC 0.5242, Accuracy 0.5405, TPR@5% FPR of 0.0439
