aug_kl   AUC 0.5535, Accuracy 0.5659, TPR@5% FPR of 0.1216
ppl   AUC 0.3492, Accuracy 0.5051, TPR@5% FPR of 0.0304
Min_0% Prob   AUC 0.5138, Accuracy 0.5253, TPR@5% FPR of 0.0676
Min_5.0% Prob   AUC 0.5138, Accuracy 0.5253, TPR@5% FPR of 0.0676
Min_10.0% Prob   AUC 0.5138, Accuracy 0.5253, TPR@5% FPR of 0.0676
Min_20.0% Prob   AUC 0.4787, Accuracy 0.5186, TPR@5% FPR of 0.0473
Min_30.0% Prob   AUC 0.4620, Accuracy 0.5068, TPR@5% FPR of 0.0405
Min_40.0% Prob   AUC 0.4648, Accuracy 0.5068, TPR@5% FPR of 0.0507
Min_50.0% Prob   AUC 0.3681, Accuracy 0.5051, TPR@5% FPR of 0.0338
Min_60.0% Prob   AUC 0.3582, Accuracy 0.5051, TPR@5% FPR of 0.0270
Min_70.0% Prob   AUC 0.3563, Accuracy 0.5051, TPR@5% FPR of 0.0338
Min_80.0% Prob   AUC 0.3414, Accuracy 0.5051, TPR@5% FPR of 0.0304
Min_90.0% Prob   AUC 0.3492, Accuracy 0.5051, TPR@5% FPR of 0.0304
Modified_entropy   AUC 0.3571, Accuracy 0.5051, TPR@5% FPR of 0.0304
Modified_renyi_05   AUC 0.3872, Accuracy 0.5034, TPR@5% FPR of 0.0135
Modified_renyi_2   AUC 0.4258, Accuracy 0.5017, TPR@5% FPR of 0.0270
Max_Prob_Gap   AUC 0.5741, Accuracy 0.5557, TPR@5% FPR of 0.1250
Max_0% renyi_05   AUC 0.5379, Accuracy 0.5524, TPR@5% FPR of 0.0439
Max_0% renyi_1   AUC 0.5246, Accuracy 0.5405, TPR@5% FPR of 0.0439
Max_0% renyi_2   AUC 0.5158, Accuracy 0.5270, TPR@5% FPR of 0.0743
Max_0% renyi_inf   AUC 0.5187, Accuracy 0.5287, TPR@5% FPR of 0.0878
Max_5.0% renyi_05   AUC 0.5379, Accuracy 0.5524, TPR@5% FPR of 0.0439
Max_5.0% renyi_1   AUC 0.5246, Accuracy 0.5405, TPR@5% FPR of 0.0439
Max_5.0% renyi_2   AUC 0.5158, Accuracy 0.5270, TPR@5% FPR of 0.0743
Max_5.0% renyi_inf   AUC 0.5187, Accuracy 0.5287, TPR@5% FPR of 0.0878
Max_10.0% renyi_05   AUC 0.5379, Accuracy 0.5524, TPR@5% FPR of 0.0439
Max_10.0% renyi_1   AUC 0.5246, Accuracy 0.5405, TPR@5% FPR of 0.0439
