aug_kl   AUC 0.5835, Accuracy 0.5794, TPR@5% FPR of 0.1014
ppl   AUC 0.4167, Accuracy 0.5051, TPR@5% FPR of 0.0405
Min_0% Prob   AUC 0.5138, Accuracy 0.5253, TPR@5% FPR of 0.0676
Min_5.0% Prob   AUC 0.4787, Accuracy 0.5186, TPR@5% FPR of 0.0473
Min_10.0% Prob   AUC 0.4620, Accuracy 0.5068, TPR@5% FPR of 0.0405
Min_20.0% Prob   AUC 0.3564, Accuracy 0.5051, TPR@5% FPR of 0.0338
Min_30.0% Prob   AUC 0.3515, Accuracy 0.5034, TPR@5% FPR of 0.0270
Min_40.0% Prob   AUC 0.3527, Accuracy 0.5034, TPR@5% FPR of 0.0338
Min_50.0% Prob   AUC 0.3701, Accuracy 0.5034, TPR@5% FPR of 0.0439
Min_60.0% Prob   AUC 0.3864, Accuracy 0.5051, TPR@5% FPR of 0.0304
Min_70.0% Prob   AUC 0.4062, Accuracy 0.5034, TPR@5% FPR of 0.0372
Min_80.0% Prob   AUC 0.4119, Accuracy 0.5034, TPR@5% FPR of 0.0439
Min_90.0% Prob   AUC 0.4163, Accuracy 0.5051, TPR@5% FPR of 0.0405
Modified_entropy   AUC 0.3928, Accuracy 0.5034, TPR@5% FPR of 0.0439
Modified_renyi_05   AUC 0.4703, Accuracy 0.5051, TPR@5% FPR of 0.0439
Modified_renyi_2   AUC 0.4833, Accuracy 0.5051, TPR@5% FPR of 0.0372
Max_Prob_Gap   AUC 0.5171, Accuracy 0.5236, TPR@5% FPR of 0.0439
Max_0% renyi_05   AUC 0.5410, Accuracy 0.5541, TPR@5% FPR of 0.0372
Max_0% renyi_1   AUC 0.5319, Accuracy 0.5456, TPR@5% FPR of 0.0642
Max_0% renyi_2   AUC 0.5233, Accuracy 0.5270, TPR@5% FPR of 0.0507
Max_0% renyi_inf   AUC 0.5110, Accuracy 0.5236, TPR@5% FPR of 0.0608
Max_5.0% renyi_05   AUC 0.5294, Accuracy 0.5473, TPR@5% FPR of 0.0642
Max_5.0% renyi_1   AUC 0.5312, Accuracy 0.5405, TPR@5% FPR of 0.0642
Max_5.0% renyi_2   AUC 0.5237, Accuracy 0.5372, TPR@5% FPR of 0.0507
Max_5.0% renyi_inf   AUC 0.5102, Accuracy 0.5287, TPR@5% FPR of 0.0507
Max_10.0% renyi_05   AUC 0.5343, Accuracy 0.5439, TPR@5% FPR of 0.0743
Max_10.0% renyi_1   AUC 0.5205, Accuracy 0.5304, TPR@5% FPR of 0.0372
Max_10.0% renyi_2   AUC 0.5155, Accuracy 0.5270, TPR@5% FPR of 0.0507
Max_10.0% renyi_inf   AUC 0.5089, Accuracy 0.5338, TPR@5% FPR of 0.0439
Max_20.0% renyi_05   AUC 0.5252, Accuracy 0.5355, TPR@5% FPR of 0.0642
Max_20.0% renyi_1   AUC 0.5182, Accuracy 0.5287, TPR@5% FPR of 0.0405
Max_20.0% renyi_2   AUC 0.5164, Accuracy 0.5287, TPR@5% FPR of 0.0439
Max_20.0% renyi_inf   AUC 0.5085, Accuracy 0.5236, TPR@5% FPR of 0.0338
Max_30.0% renyi_05   AUC 0.5224, Accuracy 0.5287, TPR@5% FPR of 0.0642
Max_30.0% renyi_1   AUC 0.5275, Accuracy 0.5439, TPR@5% FPR of 0.0473
Max_30.0% renyi_2   AUC 0.5165, Accuracy 0.5355, TPR@5% FPR of 0.0473
Max_30.0% renyi_inf   AUC 0.5059, Accuracy 0.5203, TPR@5% FPR of 0.0372
Max_40.0% renyi_05   AUC 0.5233, Accuracy 0.5338, TPR@5% FPR of 0.0541
Max_40.0% renyi_1   AUC 0.5309, Accuracy 0.5405, TPR@5% FPR of 0.0473
Max_40.0% renyi_2   AUC 0.5151, Accuracy 0.5236, TPR@5% FPR of 0.0473
Max_40.0% renyi_inf   AUC 0.5044, Accuracy 0.5220, TPR@5% FPR of 0.0439
Max_50.0% renyi_05   AUC 0.5243, Accuracy 0.5389, TPR@5% FPR of 0.0541
Max_50.0% renyi_1   AUC 0.5293, Accuracy 0.5422, TPR@5% FPR of 0.0473
Max_50.0% renyi_2   AUC 0.5189, Accuracy 0.5253, TPR@5% FPR of 0.0473
