aug_kl   AUC 0.4944, Accuracy 0.5183, TPR@5% FPR of 0.0333
ppl   AUC 0.6653, Accuracy 0.6450, TPR@5% FPR of 0.1433
Min_0% Prob   AUC 0.6100, Accuracy 0.6033, TPR@5% FPR of 0.0300
Min_5.0% Prob   AUC 0.6100, Accuracy 0.6033, TPR@5% FPR of 0.0300
Min_10.0% Prob   AUC 0.6433, Accuracy 0.6200, TPR@5% FPR of 0.0300
Min_20.0% Prob   AUC 0.6549, Accuracy 0.6250, TPR@5% FPR of 0.0867
Min_30.0% Prob   AUC 0.6612, Accuracy 0.6283, TPR@5% FPR of 0.0933
Min_40.0% Prob   AUC 0.6602, Accuracy 0.6250, TPR@5% FPR of 0.0900
Min_50.0% Prob   AUC 0.6587, Accuracy 0.6267, TPR@5% FPR of 0.1067
Min_60.0% Prob   AUC 0.6613, Accuracy 0.6317, TPR@5% FPR of 0.1200
Min_70.0% Prob   AUC 0.6612, Accuracy 0.6317, TPR@5% FPR of 0.1400
Min_80.0% Prob   AUC 0.6640, Accuracy 0.6400, TPR@5% FPR of 0.1500
Min_90.0% Prob   AUC 0.6652, Accuracy 0.6450, TPR@5% FPR of 0.1433
Modified_entropy   AUC 0.6577, Accuracy 0.6267, TPR@5% FPR of 0.1533
Modified_renyi_05   AUC 0.6518, Accuracy 0.6233, TPR@5% FPR of 0.1533
Modified_renyi_2   AUC 0.6459, Accuracy 0.6167, TPR@5% FPR of 0.1167
Max_Prob_Gap   AUC 0.6559, Accuracy 0.6383, TPR@5% FPR of 0.1367
Max_0% renyi_05   AUC 0.6647, Accuracy 0.6417, TPR@5% FPR of 0.0667
Max_0% renyi_1   AUC 0.6661, Accuracy 0.6417, TPR@5% FPR of 0.0533
Max_0% renyi_2   AUC 0.6434, Accuracy 0.6200, TPR@5% FPR of 0.0500
Max_0% renyi_inf   AUC 0.6100, Accuracy 0.6033, TPR@5% FPR of 0.0300
Max_5.0% renyi_05   AUC 0.6647, Accuracy 0.6417, TPR@5% FPR of 0.0667
Max_5.0% renyi_1   AUC 0.6661, Accuracy 0.6417, TPR@5% FPR of 0.0533
Max_5.0% renyi_2   AUC 0.6434, Accuracy 0.6200, TPR@5% FPR of 0.0500
Max_5.0% renyi_inf   AUC 0.6100, Accuracy 0.6033, TPR@5% FPR of 0.0300
Max_10.0% renyi_05   AUC 0.6804, Accuracy 0.6750, TPR@5% FPR of 0.0600
Max_10.0% renyi_1   AUC 0.6823, Accuracy 0.6600, TPR@5% FPR of 0.0500
Max_10.0% renyi_2   AUC 0.6658, Accuracy 0.6433, TPR@5% FPR of 0.0533
Max_10.0% renyi_inf   AUC 0.6432, Accuracy 0.6200, TPR@5% FPR of 0.0300
Max_20.0% renyi_05   AUC 0.6864, Accuracy 0.6800, TPR@5% FPR of 0.0733
Max_20.0% renyi_1   AUC 0.6915, Accuracy 0.6750, TPR@5% FPR of 0.0467
Max_20.0% renyi_2   AUC 0.6764, Accuracy 0.6550, TPR@5% FPR of 0.0633
Max_20.0% renyi_inf   AUC 0.6549, Accuracy 0.6267, TPR@5% FPR of 0.0867
Max_30.0% renyi_05   AUC 0.6963, Accuracy 0.6883, TPR@5% FPR of 0.0733
Max_30.0% renyi_1   AUC 0.6958, Accuracy 0.6783, TPR@5% FPR of 0.0767
Max_30.0% renyi_2   AUC 0.6826, Accuracy 0.6617, TPR@5% FPR of 0.0867
Max_30.0% renyi_inf   AUC 0.6612, Accuracy 0.6283, TPR@5% FPR of 0.0933
Max_40.0% renyi_05   AUC 0.7009, Accuracy 0.6883, TPR@5% FPR of 0.0933
Max_40.0% renyi_1   AUC 0.6966, Accuracy 0.6800, TPR@5% FPR of 0.0833
Max_40.0% renyi_2   AUC 0.6820, Accuracy 0.6633, TPR@5% FPR of 0.1067
Max_40.0% renyi_inf   AUC 0.6603, Accuracy 0.6250, TPR@5% FPR of 0.0900
Max_50.0% renyi_05   AUC 0.7010, Accuracy 0.6750, TPR@5% FPR of 0.0900
Max_50.0% renyi_1   AUC 0.6968, Accuracy 0.6783, TPR@5% FPR of 0.1167
Max_50.0% renyi_2   AUC 0.6805, Accuracy 0.6550, TPR@5% FPR of 0.1233
Max_50.0% renyi_inf   AUC 0.6587, Accuracy 0.6283, TPR@5% FPR of 0.1067
Max_60.0% renyi_05   AUC 0.7003, Accuracy 0.6733, TPR@5% FPR of 0.0867
Max_60.0% renyi_1   AUC 0.6956, Accuracy 0.6750, TPR@5% FPR of 0.1100
Max_60.0% renyi_2   AUC 0.6785, Accuracy 0.6533, TPR@5% FPR of 0.1267
Max_60.0% renyi_inf   AUC 0.6614, Accuracy 0.6317, TPR@5% FPR of 0.1200
Max_70.0% renyi_05   AUC 0.7024, Accuracy 0.6767, TPR@5% FPR of 0.1033
Max_70.0% renyi_1   AUC 0.6948, Accuracy 0.6783, TPR@5% FPR of 0.1000
Max_70.0% renyi_2   AUC 0.6767, Accuracy 0.6567, TPR@5% FPR of 0.1300
Max_70.0% renyi_inf   AUC 0.6612, Accuracy 0.6317, TPR@5% FPR of 0.1400
Max_80.0% renyi_05   AUC 0.7051, Accuracy 0.6783, TPR@5% FPR of 0.1300
Max_80.0% renyi_1   AUC 0.6942, Accuracy 0.6733, TPR@5% FPR of 0.1200
Max_80.0% renyi_2   AUC 0.6778, Accuracy 0.6550, TPR@5% FPR of 0.1333
Max_80.0% renyi_inf   AUC 0.6640, Accuracy 0.6400, TPR@5% FPR of 0.1500
Max_90.0% renyi_05   AUC 0.7059, Accuracy 0.6833, TPR@5% FPR of 0.0967
Max_90.0% renyi_1   AUC 0.6948, Accuracy 0.6750, TPR@5% FPR of 0.1133
Max_90.0% renyi_2   AUC 0.6783, Accuracy 0.6550, TPR@5% FPR of 0.1400
Max_90.0% renyi_inf   AUC 0.6652, Accuracy 0.6450, TPR@5% FPR of 0.1433
Max_100% renyi_05   AUC 0.7052, Accuracy 0.6883, TPR@5% FPR of 0.0967
Max_100% renyi_1   AUC 0.6945, Accuracy 0.6750, TPR@5% FPR of 0.1133
Max_100% renyi_2   AUC 0.6779, Accuracy 0.6550, TPR@5% FPR of 0.1400
Max_100% renyi_inf   AUC 0.6654, Accuracy 0.6450, TPR@5% FPR of 0.1433
Min_0% renyi_05   AUC 0.6413, Accuracy 0.6050, TPR@5% FPR of 0.1067
Min_0% renyi_1   AUC 0.6631, Accuracy 0.6333, TPR@5% FPR of 0.0667
Min_0% renyi_2   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_0% renyi_inf   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_5.0% renyi_05   AUC 0.6413, Accuracy 0.6050, TPR@5% FPR of 0.1067
Min_5.0% renyi_1   AUC 0.6631, Accuracy 0.6333, TPR@5% FPR of 0.0667
Min_5.0% renyi_2   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_5.0% renyi_inf   AUC 0.6646, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_10.0% renyi_05   AUC 0.6456, Accuracy 0.6217, TPR@5% FPR of 0.1567
Min_10.0% renyi_1   AUC 0.6354, Accuracy 0.6317, TPR@5% FPR of 0.1133
Min_10.0% renyi_2   AUC 0.6343, Accuracy 0.6250, TPR@5% FPR of 0.1133
Min_10.0% renyi_inf   AUC 0.6343, Accuracy 0.6250, TPR@5% FPR of 0.1133
Min_20.0% renyi_05   AUC 0.6602, Accuracy 0.6350, TPR@5% FPR of 0.1267
Min_20.0% renyi_1   AUC 0.6435, Accuracy 0.6300, TPR@5% FPR of 0.1300
Min_20.0% renyi_2   AUC 0.6431, Accuracy 0.6267, TPR@5% FPR of 0.1333
Min_20.0% renyi_inf   AUC 0.6433, Accuracy 0.6267, TPR@5% FPR of 0.1333
Min_30.0% renyi_05   AUC 0.6753, Accuracy 0.6550, TPR@5% FPR of 0.1533
Min_30.0% renyi_1   AUC 0.6484, Accuracy 0.6167, TPR@5% FPR of 0.1467
