aug_kl   AUC 0.5977, Accuracy 0.5817, TPR@5% FPR of 0.0600
ppl   AUC 0.6269, Accuracy 0.6050, TPR@5% FPR of 0.0833
Min_0% Prob   AUC 0.5207, Accuracy 0.5367, TPR@5% FPR of 0.0667
Min_5.0% Prob   AUC 0.5326, Accuracy 0.5433, TPR@5% FPR of 0.0533
Min_10.0% Prob   AUC 0.5374, Accuracy 0.5533, TPR@5% FPR of 0.0633
Min_20.0% Prob   AUC 0.5605, Accuracy 0.5700, TPR@5% FPR of 0.0667
Min_30.0% Prob   AUC 0.5825, Accuracy 0.5783, TPR@5% FPR of 0.0767
Min_40.0% Prob   AUC 0.5973, Accuracy 0.5850, TPR@5% FPR of 0.0567
Min_50.0% Prob   AUC 0.6092, Accuracy 0.5900, TPR@5% FPR of 0.0600
Min_60.0% Prob   AUC 0.6177, Accuracy 0.5917, TPR@5% FPR of 0.0833
Min_70.0% Prob   AUC 0.6233, Accuracy 0.5967, TPR@5% FPR of 0.0800
Min_80.0% Prob   AUC 0.6259, Accuracy 0.5983, TPR@5% FPR of 0.0800
Min_90.0% Prob   AUC 0.6278, Accuracy 0.6067, TPR@5% FPR of 0.0800
Modified_entropy   AUC 0.6246, Accuracy 0.6017, TPR@5% FPR of 0.0900
Modified_renyi_05   AUC 0.6301, Accuracy 0.6167, TPR@5% FPR of 0.0767
Modified_renyi_2   AUC 0.6274, Accuracy 0.6117, TPR@5% FPR of 0.0833
Max_Prob_Gap   AUC 0.5203, Accuracy 0.5433, TPR@5% FPR of 0.0600
Max_0% renyi_05   AUC 0.4637, Accuracy 0.5283, TPR@5% FPR of 0.0200
Max_0% renyi_1   AUC 0.4498, Accuracy 0.5367, TPR@5% FPR of 0.0200
Max_0% renyi_2   AUC 0.5361, Accuracy 0.5417, TPR@5% FPR of 0.0300
Max_0% renyi_inf   AUC 0.5207, Accuracy 0.5367, TPR@5% FPR of 0.0667
Max_5.0% renyi_05   AUC 0.5230, Accuracy 0.5483, TPR@5% FPR of 0.0900
Max_5.0% renyi_1   AUC 0.5517, Accuracy 0.5667, TPR@5% FPR of 0.0467
Max_5.0% renyi_2   AUC 0.5447, Accuracy 0.5500, TPR@5% FPR of 0.0433
Max_5.0% renyi_inf   AUC 0.5326, Accuracy 0.5433, TPR@5% FPR of 0.0533
Max_10.0% renyi_05   AUC 0.5272, Accuracy 0.5617, TPR@5% FPR of 0.0867
Max_10.0% renyi_1   AUC 0.5528, Accuracy 0.5633, TPR@5% FPR of 0.0433
Max_10.0% renyi_2   AUC 0.5470, Accuracy 0.5550, TPR@5% FPR of 0.0600
Max_10.0% renyi_inf   AUC 0.5374, Accuracy 0.5533, TPR@5% FPR of 0.0633
Max_20.0% renyi_05   AUC 0.5193, Accuracy 0.5500, TPR@5% FPR of 0.0533
Max_20.0% renyi_1   AUC 0.5642, Accuracy 0.5633, TPR@5% FPR of 0.0533
Max_20.0% renyi_2   AUC 0.5703, Accuracy 0.5633, TPR@5% FPR of 0.0667
Max_20.0% renyi_inf   AUC 0.5605, Accuracy 0.5700, TPR@5% FPR of 0.0667
Max_30.0% renyi_05   AUC 0.5176, Accuracy 0.5400, TPR@5% FPR of 0.0700
Max_30.0% renyi_1   AUC 0.5765, Accuracy 0.5750, TPR@5% FPR of 0.0533
Max_30.0% renyi_2   AUC 0.5877, Accuracy 0.5767, TPR@5% FPR of 0.0700
Max_30.0% renyi_inf   AUC 0.5825, Accuracy 0.5783, TPR@5% FPR of 0.0767
Max_40.0% renyi_05   AUC 0.5514, Accuracy 0.5517, TPR@5% FPR of 0.0700
Max_40.0% renyi_1   AUC 0.5988, Accuracy 0.5950, TPR@5% FPR of 0.0567
Max_40.0% renyi_2   AUC 0.6093, Accuracy 0.5933, TPR@5% FPR of 0.0667
Max_40.0% renyi_inf   AUC 0.5973, Accuracy 0.5850, TPR@5% FPR of 0.0567
Max_50.0% renyi_05   AUC 0.5861, Accuracy 0.5783, TPR@5% FPR of 0.0700
Max_50.0% renyi_1   AUC 0.6228, Accuracy 0.6067, TPR@5% FPR of 0.0667
Max_50.0% renyi_2   AUC 0.6239, Accuracy 0.6050, TPR@5% FPR of 0.0600
Max_50.0% renyi_inf   AUC 0.6092, Accuracy 0.5900, TPR@5% FPR of 0.0600
Max_60.0% renyi_05   AUC 0.6164, Accuracy 0.6033, TPR@5% FPR of 0.0767
Max_60.0% renyi_1   AUC 0.6415, Accuracy 0.6133, TPR@5% FPR of 0.0667
Max_60.0% renyi_2   AUC 0.6355, Accuracy 0.6150, TPR@5% FPR of 0.0633
Max_60.0% renyi_inf   AUC 0.6177, Accuracy 0.5917, TPR@5% FPR of 0.0833
Max_70.0% renyi_05   AUC 0.6413, Accuracy 0.6233, TPR@5% FPR of 0.1033
Max_70.0% renyi_1   AUC 0.6556, Accuracy 0.6267, TPR@5% FPR of 0.0633
Max_70.0% renyi_2   AUC 0.6426, Accuracy 0.6200, TPR@5% FPR of 0.0700
Max_70.0% renyi_inf   AUC 0.6233, Accuracy 0.5967, TPR@5% FPR of 0.0800
Max_80.0% renyi_05   AUC 0.6607, Accuracy 0.6383, TPR@5% FPR of 0.1133
Max_80.0% renyi_1   AUC 0.6674, Accuracy 0.6350, TPR@5% FPR of 0.0833
Max_80.0% renyi_2   AUC 0.6467, Accuracy 0.6317, TPR@5% FPR of 0.0833
Max_80.0% renyi_inf   AUC 0.6259, Accuracy 0.5983, TPR@5% FPR of 0.0800
Max_90.0% renyi_05   AUC 0.6746, Accuracy 0.6483, TPR@5% FPR of 0.1300
Max_90.0% renyi_1   AUC 0.6748, Accuracy 0.6383, TPR@5% FPR of 0.0733
Max_90.0% renyi_2   AUC 0.6482, Accuracy 0.6383, TPR@5% FPR of 0.0733
Max_90.0% renyi_inf   AUC 0.6278, Accuracy 0.6067, TPR@5% FPR of 0.0800
Max_100% renyi_05   AUC 0.6815, Accuracy 0.6567, TPR@5% FPR of 0.1200
Max_100% renyi_1   AUC 0.6745, Accuracy 0.6383, TPR@5% FPR of 0.0900
Max_100% renyi_2   AUC 0.6463, Accuracy 0.6267, TPR@5% FPR of 0.0833
Max_100% renyi_inf   AUC 0.6269, Accuracy 0.6050, TPR@5% FPR of 0.0833
Min_0% renyi_05   AUC 0.5452, Accuracy 0.5483, TPR@5% FPR of 0.0500
Min_0% renyi_1   AUC 0.5190, Accuracy 0.5417, TPR@5% FPR of 0.0633
Min_0% renyi_2   AUC 0.5149, Accuracy 0.5350, TPR@5% FPR of 0.0733
Min_0% renyi_inf   AUC 0.5148, Accuracy 0.5350, TPR@5% FPR of 0.0733
Min_5.0% renyi_05   AUC 0.6159, Accuracy 0.5933, TPR@5% FPR of 0.1100
Min_5.0% renyi_1   AUC 0.5742, Accuracy 0.5833, TPR@5% FPR of 0.0700
Min_5.0% renyi_2   AUC 0.5548, Accuracy 0.5600, TPR@5% FPR of 0.0533
Min_5.0% renyi_inf   AUC 0.5530, Accuracy 0.5617, TPR@5% FPR of 0.0533
Min_10.0% renyi_05   AUC 0.6516, Accuracy 0.6150, TPR@5% FPR of 0.1333
Min_10.0% renyi_1   AUC 0.6087, Accuracy 0.6083, TPR@5% FPR of 0.0333
Min_10.0% renyi_2   AUC 0.5799, Accuracy 0.5800, TPR@5% FPR of 0.0433
Min_10.0% renyi_inf   AUC 0.5757, Accuracy 0.5750, TPR@5% FPR of 0.0400
Min_20.0% renyi_05   AUC 0.6890, Accuracy 0.6533, TPR@5% FPR of 0.1367
Min_20.0% renyi_1   AUC 0.6478, Accuracy 0.6267, TPR@5% FPR of 0.0633
Min_20.0% renyi_2   AUC 0.6015, Accuracy 0.5967, TPR@5% FPR of 0.0567
Min_20.0% renyi_inf   AUC 0.5953, Accuracy 0.5967, TPR@5% FPR of 0.0567
Min_30.0% renyi_05   AUC 0.7067, Accuracy 0.6567, TPR@5% FPR of 0.1767
Min_30.0% renyi_1   AUC 0.6724, Accuracy 0.6467, TPR@5% FPR of 0.0767
Min_30.0% renyi_2   AUC 0.6177, Accuracy 0.6100, TPR@5% FPR of 0.0533
Min_30.0% renyi_inf   AUC 0.6064, Accuracy 0.6033, TPR@5% FPR of 0.0533
Min_40.0% renyi_05   AUC 0.7128, Accuracy 0.6600, TPR@5% FPR of 0.1833
Min_40.0% renyi_1   AUC 0.6854, Accuracy 0.6433, TPR@5% FPR of 0.0867
Min_40.0% renyi_2   AUC 0.6336, Accuracy 0.6083, TPR@5% FPR of 0.0600
Min_40.0% renyi_inf   AUC 0.6186, Accuracy 0.6050, TPR@5% FPR of 0.0600
Min_50.0% renyi_05   AUC 0.7119, Accuracy 0.6650, TPR@5% FPR of 0.1800
Min_50.0% renyi_1   AUC 0.6938, Accuracy 0.6550, TPR@5% FPR of 0.1100
Min_50.0% renyi_2   AUC 0.6474, Accuracy 0.6217, TPR@5% FPR of 0.0733
Min_50.0% renyi_inf   AUC 0.6305, Accuracy 0.6067, TPR@5% FPR of 0.0600
Min_60.0% renyi_05   AUC 0.7059, Accuracy 0.6700, TPR@5% FPR of 0.1767
Min_60.0% renyi_1   AUC 0.6976, Accuracy 0.6633, TPR@5% FPR of 0.1233
Min_60.0% renyi_2   AUC 0.6565, Accuracy 0.6267, TPR@5% FPR of 0.0900
Min_60.0% renyi_inf   AUC 0.6381, Accuracy 0.6183, TPR@5% FPR of 0.0667
Min_70.0% renyi_05   AUC 0.6934, Accuracy 0.6650, TPR@5% FPR of 0.1733
Min_70.0% renyi_1   AUC 0.6879, Accuracy 0.6567, TPR@5% FPR of 0.1300
Min_70.0% renyi_2   AUC 0.6626, Accuracy 0.6300, TPR@5% FPR of 0.0967
Min_70.0% renyi_inf   AUC 0.6448, Accuracy 0.6233, TPR@5% FPR of 0.0967
Min_80.0% renyi_05   AUC 0.6862, Accuracy 0.6583, TPR@5% FPR of 0.1367
Min_80.0% renyi_1   AUC 0.6781, Accuracy 0.6450, TPR@5% FPR of 0.1133
Min_80.0% renyi_2   AUC 0.6587, Accuracy 0.6267, TPR@5% FPR of 0.0967
Min_80.0% renyi_inf   AUC 0.6471, Accuracy 0.6233, TPR@5% FPR of 0.1033
Min_90.0% renyi_05   AUC 0.6836, Accuracy 0.6600, TPR@5% FPR of 0.1400
Min_90.0% renyi_1   AUC 0.6755, Accuracy 0.6367, TPR@5% FPR of 0.0900
Min_90.0% renyi_2   AUC 0.6510, Accuracy 0.6283, TPR@5% FPR of 0.0867
Min_90.0% renyi_inf   AUC 0.6371, Accuracy 0.6200, TPR@5% FPR of 0.0767
Min_100% renyi_05   AUC 0.6815, Accuracy 0.6567, TPR@5% FPR of 0.1200
Min_100% renyi_1   AUC 0.6745, Accuracy 0.6383, TPR@5% FPR of 0.0900
Min_100% renyi_2   AUC 0.6463, Accuracy 0.6267, TPR@5% FPR of 0.0833
Min_100% renyi_inf   AUC 0.6269, Accuracy 0.6050, TPR@5% FPR of 0.0833
