aug_kl   AUC 0.5279, Accuracy 0.5450, TPR@5% FPR of 0.0600
ppl   AUC 0.3930, Accuracy 0.5017, TPR@5% FPR of 0.0067
Min_0% Prob   AUC 0.3536, Accuracy 0.5017, TPR@5% FPR of 0.0133
Min_5.0% Prob   AUC 0.3536, Accuracy 0.5017, TPR@5% FPR of 0.0133
Min_10.0% Prob   AUC 0.3536, Accuracy 0.5017, TPR@5% FPR of 0.0133
Min_20.0% Prob   AUC 0.3918, Accuracy 0.5050, TPR@5% FPR of 0.0033
Min_30.0% Prob   AUC 0.3994, Accuracy 0.5017, TPR@5% FPR of 0.0033
Min_40.0% Prob   AUC 0.4046, Accuracy 0.5017, TPR@5% FPR of 0.0033
Min_50.0% Prob   AUC 0.3922, Accuracy 0.5017, TPR@5% FPR of 0.0167
Min_60.0% Prob   AUC 0.3749, Accuracy 0.5017, TPR@5% FPR of 0.0100
Min_70.0% Prob   AUC 0.3812, Accuracy 0.5017, TPR@5% FPR of 0.0100
Min_80.0% Prob   AUC 0.3937, Accuracy 0.5017, TPR@5% FPR of 0.0100
Min_90.0% Prob   AUC 0.3930, Accuracy 0.5017, TPR@5% FPR of 0.0067
Modified_entropy   AUC 0.3653, Accuracy 0.5017, TPR@5% FPR of 0.0000
Modified_renyi_05   AUC 0.3579, Accuracy 0.5050, TPR@5% FPR of 0.0000
Modified_renyi_2   AUC 0.3664, Accuracy 0.5050, TPR@5% FPR of 0.0033
Max_Prob_Gap   AUC 0.6024, Accuracy 0.5750, TPR@5% FPR of 0.0700
Max_0% renyi_05   AUC 0.6471, Accuracy 0.6350, TPR@5% FPR of 0.1433
Max_0% renyi_1   AUC 0.6811, Accuracy 0.6483, TPR@5% FPR of 0.1267
Max_0% renyi_2   AUC 0.6762, Accuracy 0.6500, TPR@5% FPR of 0.1233
Max_0% renyi_inf   AUC 0.6525, Accuracy 0.6400, TPR@5% FPR of 0.1100
Max_5.0% renyi_05   AUC 0.6471, Accuracy 0.6350, TPR@5% FPR of 0.1433
Max_5.0% renyi_1   AUC 0.6811, Accuracy 0.6483, TPR@5% FPR of 0.1267
