aug_kl   AUC 0.5070, Accuracy 0.5200, TPR@5% FPR of 0.0500
ppl   AUC 0.5745, Accuracy 0.5717, TPR@5% FPR of 0.0700
Min_0% Prob   AUC 0.3536, Accuracy 0.5017, TPR@5% FPR of 0.0133
Min_5.0% Prob   AUC 0.3918, Accuracy 0.5050, TPR@5% FPR of 0.0033
Min_10.0% Prob   AUC 0.3994, Accuracy 0.5017, TPR@5% FPR of 0.0033
Min_20.0% Prob   AUC 0.3812, Accuracy 0.5017, TPR@5% FPR of 0.0100
Min_30.0% Prob   AUC 0.4278, Accuracy 0.5033, TPR@5% FPR of 0.0167
Min_40.0% Prob   AUC 0.4805, Accuracy 0.5117, TPR@5% FPR of 0.0267
Min_50.0% Prob   AUC 0.5201, Accuracy 0.5317, TPR@5% FPR of 0.0467
Min_60.0% Prob   AUC 0.5445, Accuracy 0.5500, TPR@5% FPR of 0.0567
Min_70.0% Prob   AUC 0.5608, Accuracy 0.5633, TPR@5% FPR of 0.0733
Min_80.0% Prob   AUC 0.5704, Accuracy 0.5717, TPR@5% FPR of 0.0700
Min_90.0% Prob   AUC 0.5741, Accuracy 0.5700, TPR@5% FPR of 0.0667
Modified_entropy   AUC 0.5137, Accuracy 0.5333, TPR@5% FPR of 0.0400
Modified_renyi_05   AUC 0.6187, Accuracy 0.5933, TPR@5% FPR of 0.1000
Modified_renyi_2   AUC 0.6188, Accuracy 0.5933, TPR@5% FPR of 0.1133
Max_Prob_Gap   AUC 0.6547, Accuracy 0.6383, TPR@5% FPR of 0.1400
Max_0% renyi_05   AUC 0.6471, Accuracy 0.6350, TPR@5% FPR of 0.1433
Max_0% renyi_1   AUC 0.7022, Accuracy 0.6683, TPR@5% FPR of 0.1633
Max_0% renyi_2   AUC 0.6804, Accuracy 0.6517, TPR@5% FPR of 0.1000
Max_0% renyi_inf   AUC 0.6394, Accuracy 0.6300, TPR@5% FPR of 0.0700
Max_5.0% renyi_05   AUC 0.6530, Accuracy 0.6333, TPR@5% FPR of 0.1433
Max_5.0% renyi_1   AUC 0.7224, Accuracy 0.6867, TPR@5% FPR of 0.1567
Max_5.0% renyi_2   AUC 0.7020, Accuracy 0.6633, TPR@5% FPR of 0.1167
Max_5.0% renyi_inf   AUC 0.6651, Accuracy 0.6533, TPR@5% FPR of 0.0833
Max_10.0% renyi_05   AUC 0.6867, Accuracy 0.6533, TPR@5% FPR of 0.1333
Max_10.0% renyi_1   AUC 0.7211, Accuracy 0.6850, TPR@5% FPR of 0.0867
Max_10.0% renyi_2   AUC 0.7034, Accuracy 0.6667, TPR@5% FPR of 0.0833
Max_10.0% renyi_inf   AUC 0.6784, Accuracy 0.6567, TPR@5% FPR of 0.0700
Max_20.0% renyi_05   AUC 0.7137, Accuracy 0.6750, TPR@5% FPR of 0.1267
Max_20.0% renyi_1   AUC 0.7114, Accuracy 0.6917, TPR@5% FPR of 0.0533
Max_20.0% renyi_2   AUC 0.7021, Accuracy 0.6783, TPR@5% FPR of 0.0833
Max_20.0% renyi_inf   AUC 0.6832, Accuracy 0.6583, TPR@5% FPR of 0.1200
Max_30.0% renyi_05   AUC 0.7132, Accuracy 0.6800, TPR@5% FPR of 0.1433
Max_30.0% renyi_1   AUC 0.7097, Accuracy 0.6917, TPR@5% FPR of 0.0533
Max_30.0% renyi_2   AUC 0.7044, Accuracy 0.6783, TPR@5% FPR of 0.0933
Max_30.0% renyi_inf   AUC 0.6858, Accuracy 0.6600, TPR@5% FPR of 0.1033
Max_40.0% renyi_05   AUC 0.7176, Accuracy 0.6967, TPR@5% FPR of 0.1333
Max_40.0% renyi_1   AUC 0.7104, Accuracy 0.6917, TPR@5% FPR of 0.0967
Max_40.0% renyi_2   AUC 0.7002, Accuracy 0.6717, TPR@5% FPR of 0.1000
Max_40.0% renyi_inf   AUC 0.6805, Accuracy 0.6483, TPR@5% FPR of 0.1067
Max_50.0% renyi_05   AUC 0.7190, Accuracy 0.7000, TPR@5% FPR of 0.1333
Max_50.0% renyi_1   AUC 0.7104, Accuracy 0.6917, TPR@5% FPR of 0.1033
Max_50.0% renyi_2   AUC 0.6975, Accuracy 0.6683, TPR@5% FPR of 0.1267
Max_50.0% renyi_inf   AUC 0.6802, Accuracy 0.6450, TPR@5% FPR of 0.1267
Max_60.0% renyi_05   AUC 0.7167, Accuracy 0.6883, TPR@5% FPR of 0.1200
Max_60.0% renyi_1   AUC 0.7095, Accuracy 0.6917, TPR@5% FPR of 0.1300
Max_60.0% renyi_2   AUC 0.6964, Accuracy 0.6667, TPR@5% FPR of 0.1200
Max_60.0% renyi_inf   AUC 0.6811, Accuracy 0.6483, TPR@5% FPR of 0.1433
Max_70.0% renyi_05   AUC 0.7162, Accuracy 0.6850, TPR@5% FPR of 0.1400
Max_70.0% renyi_1   AUC 0.7084, Accuracy 0.6950, TPR@5% FPR of 0.1267
Max_70.0% renyi_2   AUC 0.6949, Accuracy 0.6717, TPR@5% FPR of 0.1233
Max_70.0% renyi_inf   AUC 0.6804, Accuracy 0.6450, TPR@5% FPR of 0.1367
Max_80.0% renyi_05   AUC 0.7169, Accuracy 0.6900, TPR@5% FPR of 0.1233
Max_80.0% renyi_1   AUC 0.7099, Accuracy 0.6883, TPR@5% FPR of 0.1367
Max_80.0% renyi_2   AUC 0.6957, Accuracy 0.6683, TPR@5% FPR of 0.1400
Max_80.0% renyi_inf   AUC 0.6817, Accuracy 0.6433, TPR@5% FPR of 0.1333
Max_90.0% renyi_05   AUC 0.7190, Accuracy 0.6933, TPR@5% FPR of 0.1233
Max_90.0% renyi_1   AUC 0.7093, Accuracy 0.6850, TPR@5% FPR of 0.1333
Max_90.0% renyi_2   AUC 0.6958, Accuracy 0.6667, TPR@5% FPR of 0.1533
Max_90.0% renyi_inf   AUC 0.6819, Accuracy 0.6450, TPR@5% FPR of 0.1400
Max_100% renyi_05   AUC 0.7173, Accuracy 0.6917, TPR@5% FPR of 0.1300
Max_100% renyi_1   AUC 0.7093, Accuracy 0.6850, TPR@5% FPR of 0.1333
Max_100% renyi_2   AUC 0.6958, Accuracy 0.6667, TPR@5% FPR of 0.1533
Max_100% renyi_inf   AUC 0.6820, Accuracy 0.6450, TPR@5% FPR of 0.1400
Min_0% renyi_05   AUC 0.6450, Accuracy 0.6050, TPR@5% FPR of 0.1067
Min_0% renyi_1   AUC 0.6675, Accuracy 0.6333, TPR@5% FPR of 0.0667
Min_0% renyi_2   AUC 0.6672, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_0% renyi_inf   AUC 0.6672, Accuracy 0.6350, TPR@5% FPR of 0.0700
Min_5.0% renyi_05   AUC 0.6622, Accuracy 0.6283, TPR@5% FPR of 0.1533
Min_5.0% renyi_1   AUC 0.6913, Accuracy 0.6617, TPR@5% FPR of 0.1433
Min_5.0% renyi_2   AUC 0.6902, Accuracy 0.6550, TPR@5% FPR of 0.1500
Min_5.0% renyi_inf   AUC 0.6902, Accuracy 0.6550, TPR@5% FPR of 0.1500
Min_10.0% renyi_05   AUC 0.6523, Accuracy 0.6250, TPR@5% FPR of 0.1300
Min_10.0% renyi_1   AUC 0.6481, Accuracy 0.6367, TPR@5% FPR of 0.1100
Min_10.0% renyi_2   AUC 0.6478, Accuracy 0.6350, TPR@5% FPR of 0.1033
Min_10.0% renyi_inf   AUC 0.6479, Accuracy 0.6350, TPR@5% FPR of 0.1033
Min_20.0% renyi_05   AUC 0.6685, Accuracy 0.6433, TPR@5% FPR of 0.1600
Min_20.0% renyi_1   AUC 0.6466, Accuracy 0.6300, TPR@5% FPR of 0.1433
Min_20.0% renyi_2   AUC 0.6475, Accuracy 0.6267, TPR@5% FPR of 0.1400
Min_20.0% renyi_inf   AUC 0.6477, Accuracy 0.6267, TPR@5% FPR of 0.1400
Min_30.0% renyi_05   AUC 0.6813, Accuracy 0.6533, TPR@5% FPR of 0.1500
Min_30.0% renyi_1   AUC 0.6435, Accuracy 0.6150, TPR@5% FPR of 0.1567
Min_30.0% renyi_2   AUC 0.6415, Accuracy 0.6150, TPR@5% FPR of 0.1300
Min_30.0% renyi_inf   AUC 0.6410, Accuracy 0.6150, TPR@5% FPR of 0.1300
Min_40.0% renyi_05   AUC 0.6897, Accuracy 0.6567, TPR@5% FPR of 0.1300
Min_40.0% renyi_1   AUC 0.6549, Accuracy 0.6267, TPR@5% FPR of 0.1167
Min_40.0% renyi_2   AUC 0.6400, Accuracy 0.6067, TPR@5% FPR of 0.1400
Min_40.0% renyi_inf   AUC 0.6363, Accuracy 0.6050, TPR@5% FPR of 0.1367
Min_50.0% renyi_05   AUC 0.6976, Accuracy 0.6667, TPR@5% FPR of 0.1233
Min_50.0% renyi_1   AUC 0.6710, Accuracy 0.6400, TPR@5% FPR of 0.1367
Min_50.0% renyi_2   AUC 0.6492, Accuracy 0.6250, TPR@5% FPR of 0.1367
Min_50.0% renyi_inf   AUC 0.6463, Accuracy 0.6200, TPR@5% FPR of 0.1433
Min_60.0% renyi_05   AUC 0.7044, Accuracy 0.6750, TPR@5% FPR of 0.1233
Min_60.0% renyi_1   AUC 0.6800, Accuracy 0.6583, TPR@5% FPR of 0.1467
Min_60.0% renyi_2   AUC 0.6565, Accuracy 0.6317, TPR@5% FPR of 0.1533
Min_60.0% renyi_inf   AUC 0.6529, Accuracy 0.6267, TPR@5% FPR of 0.1567
Min_70.0% renyi_05   AUC 0.7096, Accuracy 0.6917, TPR@5% FPR of 0.1267
Min_70.0% renyi_1   AUC 0.6894, Accuracy 0.6600, TPR@5% FPR of 0.1533
Min_70.0% renyi_2   AUC 0.6616, Accuracy 0.6350, TPR@5% FPR of 0.1467
Min_70.0% renyi_inf   AUC 0.6533, Accuracy 0.6383, TPR@5% FPR of 0.1567
Min_80.0% renyi_05   AUC 0.7111, Accuracy 0.6917, TPR@5% FPR of 0.1167
Min_80.0% renyi_1   AUC 0.6942, Accuracy 0.6633, TPR@5% FPR of 0.1667
Min_80.0% renyi_2   AUC 0.6708, Accuracy 0.6450, TPR@5% FPR of 0.1433
Min_80.0% renyi_inf   AUC 0.6614, Accuracy 0.6350, TPR@5% FPR of 0.1367
Min_90.0% renyi_05   AUC 0.7142, Accuracy 0.6900, TPR@5% FPR of 0.1200
Min_90.0% renyi_1   AUC 0.6980, Accuracy 0.6750, TPR@5% FPR of 0.1367
Min_90.0% renyi_2   AUC 0.6791, Accuracy 0.6483, TPR@5% FPR of 0.1433
Min_90.0% renyi_inf   AUC 0.6695, Accuracy 0.6367, TPR@5% FPR of 0.1367
Min_100% renyi_05   AUC 0.7173, Accuracy 0.6917, TPR@5% FPR of 0.1300
Min_100% renyi_1   AUC 0.7093, Accuracy 0.6850, TPR@5% FPR of 0.1333
Min_100% renyi_2   AUC 0.6958, Accuracy 0.6667, TPR@5% FPR of 0.1533
Min_100% renyi_inf   AUC 0.6820, Accuracy 0.6450, TPR@5% FPR of 0.1400
