aug_kl   AUC 0.4547, Accuracy 0.5200, TPR@5% FPR of 0.0667
ppl   AUC 0.5682, Accuracy 0.5717, TPR@5% FPR of 0.0567
Min_0% Prob   AUC 0.5456, Accuracy 0.5400, TPR@5% FPR of 0.0633
Min_5.0% Prob   AUC 0.5456, Accuracy 0.5400, TPR@5% FPR of 0.0633
Min_10.0% Prob   AUC 0.5701, Accuracy 0.5633, TPR@5% FPR of 0.0700
Min_20.0% Prob   AUC 0.5808, Accuracy 0.5700, TPR@5% FPR of 0.0567
Min_30.0% Prob   AUC 0.5798, Accuracy 0.5750, TPR@5% FPR of 0.0700
Min_40.0% Prob   AUC 0.5759, Accuracy 0.5733, TPR@5% FPR of 0.0767
Min_50.0% Prob   AUC 0.5788, Accuracy 0.5833, TPR@5% FPR of 0.0733
Min_60.0% Prob   AUC 0.5782, Accuracy 0.5817, TPR@5% FPR of 0.0667
Min_70.0% Prob   AUC 0.5709, Accuracy 0.5767, TPR@5% FPR of 0.0600
Min_80.0% Prob   AUC 0.5642, Accuracy 0.5683, TPR@5% FPR of 0.0567
Min_90.0% Prob   AUC 0.5661, Accuracy 0.5683, TPR@5% FPR of 0.0500
Modified_entropy   AUC 0.5684, Accuracy 0.5717, TPR@5% FPR of 0.0567
Modified_renyi_05   AUC 0.5660, Accuracy 0.5550, TPR@5% FPR of 0.0533
Modified_renyi_2   AUC 0.5613, Accuracy 0.5517, TPR@5% FPR of 0.0633
Max_Prob_Gap   AUC 0.5188, Accuracy 0.5333, TPR@5% FPR of 0.0333
Max_0% renyi_05   AUC 0.5138, Accuracy 0.5283, TPR@5% FPR of 0.0533
Max_0% renyi_1   AUC 0.5320, Accuracy 0.5483, TPR@5% FPR of 0.0567
Max_0% renyi_2   AUC 0.5241, Accuracy 0.5517, TPR@5% FPR of 0.0633
Max_0% renyi_inf   AUC 0.5117, Accuracy 0.5333, TPR@5% FPR of 0.0300
Max_5.0% renyi_05   AUC 0.5138, Accuracy 0.5283, TPR@5% FPR of 0.0533
Max_5.0% renyi_1   AUC 0.5320, Accuracy 0.5483, TPR@5% FPR of 0.0567
Max_5.0% renyi_2   AUC 0.5241, Accuracy 0.5517, TPR@5% FPR of 0.0633
Max_5.0% renyi_inf   AUC 0.5117, Accuracy 0.5333, TPR@5% FPR of 0.0300
Max_10.0% renyi_05   AUC 0.4830, Accuracy 0.5217, TPR@5% FPR of 0.0533
Max_10.0% renyi_1   AUC 0.4669, Accuracy 0.5100, TPR@5% FPR of 0.0600
Max_10.0% renyi_2   AUC 0.4861, Accuracy 0.5250, TPR@5% FPR of 0.0533
Max_10.0% renyi_inf   AUC 0.5422, Accuracy 0.5567, TPR@5% FPR of 0.0233
Max_20.0% renyi_05   AUC 0.5520, Accuracy 0.5550, TPR@5% FPR of 0.0400
Max_20.0% renyi_1   AUC 0.5325, Accuracy 0.5483, TPR@5% FPR of 0.0533
Max_20.0% renyi_2   AUC 0.5018, Accuracy 0.5367, TPR@5% FPR of 0.0533
Max_20.0% renyi_inf   AUC 0.5464, Accuracy 0.5517, TPR@5% FPR of 0.0300
Max_30.0% renyi_05   AUC 0.5733, Accuracy 0.5867, TPR@5% FPR of 0.0400
Max_30.0% renyi_1   AUC 0.5585, Accuracy 0.5550, TPR@5% FPR of 0.0667
Max_30.0% renyi_2   AUC 0.5145, Accuracy 0.5350, TPR@5% FPR of 0.0700
Max_30.0% renyi_inf   AUC 0.5430, Accuracy 0.5567, TPR@5% FPR of 0.0300
Max_40.0% renyi_05   AUC 0.5807, Accuracy 0.5850, TPR@5% FPR of 0.0433
Max_40.0% renyi_1   AUC 0.5644, Accuracy 0.5633, TPR@5% FPR of 0.0600
Max_40.0% renyi_2   AUC 0.5241, Accuracy 0.5400, TPR@5% FPR of 0.0567
Max_40.0% renyi_inf   AUC 0.5477, Accuracy 0.5667, TPR@5% FPR of 0.0333
Max_50.0% renyi_05   AUC 0.5766, Accuracy 0.5883, TPR@5% FPR of 0.0367
Max_50.0% renyi_1   AUC 0.5624, Accuracy 0.5683, TPR@5% FPR of 0.0600
Max_50.0% renyi_2   AUC 0.5334, Accuracy 0.5383, TPR@5% FPR of 0.0600
Max_50.0% renyi_inf   AUC 0.5602, Accuracy 0.5817, TPR@5% FPR of 0.0367
Max_60.0% renyi_05   AUC 0.5682, Accuracy 0.5817, TPR@5% FPR of 0.0500
Max_60.0% renyi_1   AUC 0.5675, Accuracy 0.5750, TPR@5% FPR of 0.0733
Max_60.0% renyi_2   AUC 0.5486, Accuracy 0.5533, TPR@5% FPR of 0.0533
Max_60.0% renyi_inf   AUC 0.5635, Accuracy 0.5717, TPR@5% FPR of 0.0600
Max_70.0% renyi_05   AUC 0.5562, Accuracy 0.5717, TPR@5% FPR of 0.0467
Max_70.0% renyi_1   AUC 0.5685, Accuracy 0.5817, TPR@5% FPR of 0.0667
Max_70.0% renyi_2   AUC 0.5550, Accuracy 0.5617, TPR@5% FPR of 0.0533
Max_70.0% renyi_inf   AUC 0.5457, Accuracy 0.5567, TPR@5% FPR of 0.0567
Max_80.0% renyi_05   AUC 0.5534, Accuracy 0.5717, TPR@5% FPR of 0.0367
Max_80.0% renyi_1   AUC 0.5719, Accuracy 0.5817, TPR@5% FPR of 0.0700
Max_80.0% renyi_2   AUC 0.5597, Accuracy 0.5700, TPR@5% FPR of 0.0633
Max_80.0% renyi_inf   AUC 0.5450, Accuracy 0.5617, TPR@5% FPR of 0.0533
Max_90.0% renyi_05   AUC 0.5551, Accuracy 0.5683, TPR@5% FPR of 0.0433
Max_90.0% renyi_1   AUC 0.5736, Accuracy 0.5800, TPR@5% FPR of 0.0900
