aug_kl   AUC 0.4654, Accuracy 0.5183, TPR@5% FPR of 0.0700
ppl   AUC 0.5174, Accuracy 0.5350, TPR@5% FPR of 0.0500
Min_0% Prob   AUC 0.4764, Accuracy 0.5117, TPR@5% FPR of 0.0300
Min_5.0% Prob   AUC 0.4764, Accuracy 0.5117, TPR@5% FPR of 0.0300
Min_10.0% Prob   AUC 0.5319, Accuracy 0.5350, TPR@5% FPR of 0.0367
Min_20.0% Prob   AUC 0.5282, Accuracy 0.5350, TPR@5% FPR of 0.0867
Min_30.0% Prob   AUC 0.5229, Accuracy 0.5283, TPR@5% FPR of 0.0567
Min_40.0% Prob   AUC 0.5877, Accuracy 0.5783, TPR@5% FPR of 0.0733
Min_50.0% Prob   AUC 0.5378, Accuracy 0.5617, TPR@5% FPR of 0.0667
Min_60.0% Prob   AUC 0.5333, Accuracy 0.5483, TPR@5% FPR of 0.0667
Min_70.0% Prob   AUC 0.5270, Accuracy 0.5383, TPR@5% FPR of 0.0567
Min_80.0% Prob   AUC 0.5067, Accuracy 0.5300, TPR@5% FPR of 0.0533
Min_90.0% Prob   AUC 0.5090, Accuracy 0.5200, TPR@5% FPR of 0.0533
Modified_entropy   AUC 0.5166, Accuracy 0.5417, TPR@5% FPR of 0.0533
Modified_renyi_05   AUC 0.5049, Accuracy 0.5350, TPR@5% FPR of 0.0533
Modified_renyi_2   AUC 0.4961, Accuracy 0.5400, TPR@5% FPR of 0.0833
Max_Prob_Gap   AUC 0.4797, Accuracy 0.5200, TPR@5% FPR of 0.0500
Max_0% renyi_05   AUC 0.4271, Accuracy 0.5000, TPR@5% FPR of 0.0267
Max_0% renyi_1   AUC 0.3792, Accuracy 0.5017, TPR@5% FPR of 0.0333
Max_0% renyi_2   AUC 0.4752, Accuracy 0.5167, TPR@5% FPR of 0.0733
Max_0% renyi_inf   AUC 0.5534, Accuracy 0.5483, TPR@5% FPR of 0.0733
Max_5.0% renyi_05   AUC 0.4271, Accuracy 0.5000, TPR@5% FPR of 0.0267
Max_5.0% renyi_1   AUC 0.3792, Accuracy 0.5017, TPR@5% FPR of 0.0333
Max_5.0% renyi_2   AUC 0.4752, Accuracy 0.5167, TPR@5% FPR of 0.0733
Max_5.0% renyi_inf   AUC 0.5534, Accuracy 0.5483, TPR@5% FPR of 0.0733
Max_10.0% renyi_05   AUC 0.3908, Accuracy 0.5000, TPR@5% FPR of 0.0133
Max_10.0% renyi_1   AUC 0.3802, Accuracy 0.5017, TPR@5% FPR of 0.0200
Max_10.0% renyi_2   AUC 0.4098, Accuracy 0.5033, TPR@5% FPR of 0.0200
Max_10.0% renyi_inf   AUC 0.6037, Accuracy 0.6000, TPR@5% FPR of 0.1167
Max_20.0% renyi_05   AUC 0.4256, Accuracy 0.5017, TPR@5% FPR of 0.0267
Max_20.0% renyi_1   AUC 0.4630, Accuracy 0.5100, TPR@5% FPR of 0.0333
Max_20.0% renyi_2   AUC 0.5083, Accuracy 0.5250, TPR@5% FPR of 0.0533
Max_20.0% renyi_inf   AUC 0.5776, Accuracy 0.5817, TPR@5% FPR of 0.1167
Max_30.0% renyi_05   AUC 0.4485, Accuracy 0.5067, TPR@5% FPR of 0.0400
Max_30.0% renyi_1   AUC 0.4759, Accuracy 0.5150, TPR@5% FPR of 0.0600
Max_30.0% renyi_2   AUC 0.5447, Accuracy 0.5467, TPR@5% FPR of 0.0767
Max_30.0% renyi_inf   AUC 0.5515, Accuracy 0.5617, TPR@5% FPR of 0.1067
Max_40.0% renyi_05   AUC 0.4766, Accuracy 0.5183, TPR@5% FPR of 0.0633
Max_40.0% renyi_1   AUC 0.4989, Accuracy 0.5317, TPR@5% FPR of 0.0733
Max_40.0% renyi_2   AUC 0.5708, Accuracy 0.5750, TPR@5% FPR of 0.0900
Max_40.0% renyi_inf   AUC 0.5433, Accuracy 0.5517, TPR@5% FPR of 0.0933
Max_50.0% renyi_05   AUC 0.4857, Accuracy 0.5150, TPR@5% FPR of 0.0633
Max_50.0% renyi_1   AUC 0.5042, Accuracy 0.5217, TPR@5% FPR of 0.0733
Max_50.0% renyi_2   AUC 0.5426, Accuracy 0.5433, TPR@5% FPR of 0.0967
Max_50.0% renyi_inf   AUC 0.5448, Accuracy 0.5433, TPR@5% FPR of 0.0967
Max_60.0% renyi_05   AUC 0.4848, Accuracy 0.5150, TPR@5% FPR of 0.0500
Max_60.0% renyi_1   AUC 0.4970, Accuracy 0.5200, TPR@5% FPR of 0.0733
Max_60.0% renyi_2   AUC 0.5250, Accuracy 0.5367, TPR@5% FPR of 0.0967
Max_60.0% renyi_inf   AUC 0.5411, Accuracy 0.5367, TPR@5% FPR of 0.0967
Max_70.0% renyi_05   AUC 0.4959, Accuracy 0.5233, TPR@5% FPR of 0.0567
Max_70.0% renyi_1   AUC 0.5002, Accuracy 0.5333, TPR@5% FPR of 0.0733
Max_70.0% renyi_2   AUC 0.5175, Accuracy 0.5333, TPR@5% FPR of 0.1000
Max_70.0% renyi_inf   AUC 0.5391, Accuracy 0.5317, TPR@5% FPR of 0.0833
Max_80.0% renyi_05   AUC 0.4909, Accuracy 0.5317, TPR@5% FPR of 0.0633
Max_80.0% renyi_1   AUC 0.4965, Accuracy 0.5217, TPR@5% FPR of 0.0900
Max_80.0% renyi_2   AUC 0.5104, Accuracy 0.5317, TPR@5% FPR of 0.0900
Max_80.0% renyi_inf   AUC 0.5371, Accuracy 0.5417, TPR@5% FPR of 0.0833
Max_90.0% renyi_05   AUC 0.4853, Accuracy 0.5233, TPR@5% FPR of 0.0567
