aug_kl   AUC 0.4598, Accuracy 0.5200, TPR@5% FPR of 0.0733
ppl   AUC 0.5733, Accuracy 0.5617, TPR@5% FPR of 0.0933
Min_0% Prob   AUC 0.4798, Accuracy 0.5167, TPR@5% FPR of 0.0300
Min_5.0% Prob   AUC 0.5352, Accuracy 0.5367, TPR@5% FPR of 0.0400
Min_10.0% Prob   AUC 0.5223, Accuracy 0.5333, TPR@5% FPR of 0.0667
Min_20.0% Prob   AUC 0.5619, Accuracy 0.5600, TPR@5% FPR of 0.0633
Min_30.0% Prob   AUC 0.5400, Accuracy 0.5400, TPR@5% FPR of 0.0700
Min_40.0% Prob   AUC 0.5468, Accuracy 0.5483, TPR@5% FPR of 0.0933
Min_50.0% Prob   AUC 0.5568, Accuracy 0.5517, TPR@5% FPR of 0.1000
Min_60.0% Prob   AUC 0.5667, Accuracy 0.5717, TPR@5% FPR of 0.0633
Min_70.0% Prob   AUC 0.5751, Accuracy 0.5683, TPR@5% FPR of 0.1167
Min_80.0% Prob   AUC 0.5809, Accuracy 0.5917, TPR@5% FPR of 0.1167
Min_90.0% Prob   AUC 0.5710, Accuracy 0.5667, TPR@5% FPR of 0.0967
Modified_entropy   AUC 0.5734, Accuracy 0.5600, TPR@5% FPR of 0.1000
Modified_renyi_05   AUC 0.5616, Accuracy 0.5550, TPR@5% FPR of 0.0633
Modified_renyi_2   AUC 0.5577, Accuracy 0.5467, TPR@5% FPR of 0.0633
Max_Prob_Gap   AUC 0.5100, Accuracy 0.5250, TPR@5% FPR of 0.0433
Max_0% renyi_05   AUC 0.5131, Accuracy 0.5283, TPR@5% FPR of 0.0367
Max_0% renyi_1   AUC 0.5318, Accuracy 0.5483, TPR@5% FPR of 0.0500
Max_0% renyi_2   AUC 0.5294, Accuracy 0.5533, TPR@5% FPR of 0.0433
Max_0% renyi_inf   AUC 0.5383, Accuracy 0.5483, TPR@5% FPR of 0.0900
Max_5.0% renyi_05   AUC 0.4816, Accuracy 0.5200, TPR@5% FPR of 0.0300
Max_5.0% renyi_1   AUC 0.4631, Accuracy 0.5067, TPR@5% FPR of 0.0500
Max_5.0% renyi_2   AUC 0.4953, Accuracy 0.5267, TPR@5% FPR of 0.0533
Max_5.0% renyi_inf   AUC 0.5548, Accuracy 0.5600, TPR@5% FPR of 0.0800
Max_10.0% renyi_05   AUC 0.4603, Accuracy 0.5017, TPR@5% FPR of 0.0400
Max_10.0% renyi_1   AUC 0.4629, Accuracy 0.5133, TPR@5% FPR of 0.0433
Max_10.0% renyi_2   AUC 0.4847, Accuracy 0.5267, TPR@5% FPR of 0.0400
Max_10.0% renyi_inf   AUC 0.5762, Accuracy 0.5650, TPR@5% FPR of 0.0700
