aug_kl   AUC 0.4157, Accuracy 0.5017, TPR@5% FPR of 0.0200
ppl   AUC 0.4953, Accuracy 0.5250, TPR@5% FPR of 0.0267
Min_0% Prob   AUC 0.5176, Accuracy 0.5283, TPR@5% FPR of 0.0133
Min_5.0% Prob   AUC 0.5281, Accuracy 0.5417, TPR@5% FPR of 0.0133
Min_10.0% Prob   AUC 0.4866, Accuracy 0.5300, TPR@5% FPR of 0.0200
Min_20.0% Prob   AUC 0.4755, Accuracy 0.5183, TPR@5% FPR of 0.0233
Min_30.0% Prob   AUC 0.4861, Accuracy 0.5300, TPR@5% FPR of 0.0300
Min_40.0% Prob   AUC 0.4897, Accuracy 0.5283, TPR@5% FPR of 0.0300
Min_50.0% Prob   AUC 0.4863, Accuracy 0.5267, TPR@5% FPR of 0.0367
Min_60.0% Prob   AUC 0.4977, Accuracy 0.5267, TPR@5% FPR of 0.0333
Min_70.0% Prob   AUC 0.4970, Accuracy 0.5283, TPR@5% FPR of 0.0300
Min_80.0% Prob   AUC 0.4949, Accuracy 0.5267, TPR@5% FPR of 0.0267
Min_90.0% Prob   AUC 0.4946, Accuracy 0.5267, TPR@5% FPR of 0.0267
Modified_entropy   AUC 0.4953, Accuracy 0.5250, TPR@5% FPR of 0.0267
Modified_renyi_05   AUC 0.4966, Accuracy 0.5250, TPR@5% FPR of 0.0333
Modified_renyi_2   AUC 0.4963, Accuracy 0.5133, TPR@5% FPR of 0.0533
Max_Prob_Gap   AUC 0.5143, Accuracy 0.5417, TPR@5% FPR of 0.0767
Max_0% renyi_05   AUC 0.5283, Accuracy 0.5367, TPR@5% FPR of 0.0667
Max_0% renyi_1   AUC 0.5194, Accuracy 0.5383, TPR@5% FPR of 0.0800
Max_0% renyi_2   AUC 0.4929, Accuracy 0.5250, TPR@5% FPR of 0.0700
Max_0% renyi_inf   AUC 0.4926, Accuracy 0.5117, TPR@5% FPR of 0.0433
Max_5.0% renyi_05   AUC 0.5430, Accuracy 0.5483, TPR@5% FPR of 0.0667
Max_5.0% renyi_1   AUC 0.5299, Accuracy 0.5500, TPR@5% FPR of 0.0833
Max_5.0% renyi_2   AUC 0.4979, Accuracy 0.5250, TPR@5% FPR of 0.0733
Max_5.0% renyi_inf   AUC 0.5027, Accuracy 0.5150, TPR@5% FPR of 0.0433
Max_10.0% renyi_05   AUC 0.5393, Accuracy 0.5533, TPR@5% FPR of 0.0533
Max_10.0% renyi_1   AUC 0.5014, Accuracy 0.5250, TPR@5% FPR of 0.0600
Max_10.0% renyi_2   AUC 0.4697, Accuracy 0.5233, TPR@5% FPR of 0.0767
Max_10.0% renyi_inf   AUC 0.4935, Accuracy 0.5167, TPR@5% FPR of 0.0733
Max_20.0% renyi_05   AUC 0.5193, Accuracy 0.5467, TPR@5% FPR of 0.0433
Max_20.0% renyi_1   AUC 0.5008, Accuracy 0.5300, TPR@5% FPR of 0.0400
Max_20.0% renyi_2   AUC 0.4985, Accuracy 0.5200, TPR@5% FPR of 0.0867
Max_20.0% renyi_inf   AUC 0.5083, Accuracy 0.5267, TPR@5% FPR of 0.0833
Max_30.0% renyi_05   AUC 0.5349, Accuracy 0.5517, TPR@5% FPR of 0.0400
Max_30.0% renyi_1   AUC 0.5220, Accuracy 0.5400, TPR@5% FPR of 0.0333
Max_30.0% renyi_2   AUC 0.5071, Accuracy 0.5450, TPR@5% FPR of 0.0467
Max_30.0% renyi_inf   AUC 0.5222, Accuracy 0.5383, TPR@5% FPR of 0.1067
Max_40.0% renyi_05   AUC 0.5346, Accuracy 0.5567, TPR@5% FPR of 0.0500
Max_40.0% renyi_1   AUC 0.5278, Accuracy 0.5500, TPR@5% FPR of 0.0400
Max_40.0% renyi_2   AUC 0.5144, Accuracy 0.5367, TPR@5% FPR of 0.0433
Max_40.0% renyi_inf   AUC 0.5285, Accuracy 0.5450, TPR@5% FPR of 0.0967
Max_50.0% renyi_05   AUC 0.5450, Accuracy 0.5567, TPR@5% FPR of 0.0467
Max_50.0% renyi_1   AUC 0.5339, Accuracy 0.5533, TPR@5% FPR of 0.0333
Max_50.0% renyi_2   AUC 0.5304, Accuracy 0.5433, TPR@5% FPR of 0.0333
Max_50.0% renyi_inf   AUC 0.5305, Accuracy 0.5533, TPR@5% FPR of 0.0900
Max_60.0% renyi_05   AUC 0.5531, Accuracy 0.5567, TPR@5% FPR of 0.0433
Max_60.0% renyi_1   AUC 0.5416, Accuracy 0.5517, TPR@5% FPR of 0.0400
Max_60.0% renyi_2   AUC 0.5485, Accuracy 0.5633, TPR@5% FPR of 0.0300
Max_60.0% renyi_inf   AUC 0.5279, Accuracy 0.5467, TPR@5% FPR of 0.0700
Max_70.0% renyi_05   AUC 0.5394, Accuracy 0.5533, TPR@5% FPR of 0.0667
Max_70.0% renyi_1   AUC 0.5328, Accuracy 0.5517, TPR@5% FPR of 0.0500
Max_70.0% renyi_2   AUC 0.5415, Accuracy 0.5600, TPR@5% FPR of 0.0300
Max_70.0% renyi_inf   AUC 0.5196, Accuracy 0.5483, TPR@5% FPR of 0.0733
Max_80.0% renyi_05   AUC 0.5373, Accuracy 0.5500, TPR@5% FPR of 0.0533
Max_80.0% renyi_1   AUC 0.5322, Accuracy 0.5417, TPR@5% FPR of 0.0467
Max_80.0% renyi_2   AUC 0.5417, Accuracy 0.5650, TPR@5% FPR of 0.0267
Max_80.0% renyi_inf   AUC 0.5220, Accuracy 0.5483, TPR@5% FPR of 0.0833
Max_90.0% renyi_05   AUC 0.5223, Accuracy 0.5367, TPR@5% FPR of 0.0533
Max_90.0% renyi_1   AUC 0.5155, Accuracy 0.5333, TPR@5% FPR of 0.0600
Max_90.0% renyi_2   AUC 0.5085, Accuracy 0.5333, TPR@5% FPR of 0.0400
Max_90.0% renyi_inf   AUC 0.5177, Accuracy 0.5467, TPR@5% FPR of 0.0967
Max_100% renyi_05   AUC 0.5042, Accuracy 0.5300, TPR@5% FPR of 0.0733
Max_100% renyi_1   AUC 0.4993, Accuracy 0.5383, TPR@5% FPR of 0.0467
Max_100% renyi_2   AUC 0.4980, Accuracy 0.5250, TPR@5% FPR of 0.0467
Max_100% renyi_inf   AUC 0.5195, Accuracy 0.5483, TPR@5% FPR of 0.1000
Min_0% renyi_05   AUC 0.4579, Accuracy 0.5150, TPR@5% FPR of 0.0233
Min_0% renyi_1   AUC 0.4704, Accuracy 0.5200, TPR@5% FPR of 0.0333
