aug_kl   AUC 0.4171, Accuracy 0.5017, TPR@5% FPR of 0.0267
ppl   AUC 0.3447, Accuracy 0.5000, TPR@5% FPR of 0.0033
Min_0% Prob   AUC 0.3892, Accuracy 0.5033, TPR@5% FPR of 0.0167
Min_5.0% Prob   AUC 0.3892, Accuracy 0.5033, TPR@5% FPR of 0.0167
Min_10.0% Prob   AUC 0.4332, Accuracy 0.5067, TPR@5% FPR of 0.0367
Min_20.0% Prob   AUC 0.3866, Accuracy 0.5067, TPR@5% FPR of 0.0300
Min_30.0% Prob   AUC 0.3656, Accuracy 0.5050, TPR@5% FPR of 0.0467
Min_40.0% Prob   AUC 0.3835, Accuracy 0.5067, TPR@5% FPR of 0.0367
Min_50.0% Prob   AUC 0.3981, Accuracy 0.5067, TPR@5% FPR of 0.0333
Min_60.0% Prob   AUC 0.3950, Accuracy 0.5017, TPR@5% FPR of 0.0167
Min_70.0% Prob   AUC 0.3769, Accuracy 0.5017, TPR@5% FPR of 0.0100
Min_80.0% Prob   AUC 0.3694, Accuracy 0.5000, TPR@5% FPR of 0.0067
Min_90.0% Prob   AUC 0.3806, Accuracy 0.5000, TPR@5% FPR of 0.0067
Modified_entropy   AUC 0.3435, Accuracy 0.5000, TPR@5% FPR of 0.0033
Modified_renyi_05   AUC 0.3421, Accuracy 0.5000, TPR@5% FPR of 0.0067
Modified_renyi_2   AUC 0.3527, Accuracy 0.5017, TPR@5% FPR of 0.0100
Max_Prob_Gap   AUC 0.5105, Accuracy 0.5250, TPR@5% FPR of 0.0433
Max_0% renyi_05   AUC 0.5638, Accuracy 0.5750, TPR@5% FPR of 0.1000
Max_0% renyi_1   AUC 0.5372, Accuracy 0.5633, TPR@5% FPR of 0.0633
Max_0% renyi_2   AUC 0.5251, Accuracy 0.5400, TPR@5% FPR of 0.0467
Max_0% renyi_inf   AUC 0.4954, Accuracy 0.5433, TPR@5% FPR of 0.0400
Max_5.0% renyi_05   AUC 0.5638, Accuracy 0.5750, TPR@5% FPR of 0.1000
Max_5.0% renyi_1   AUC 0.5372, Accuracy 0.5633, TPR@5% FPR of 0.0633
Max_5.0% renyi_2   AUC 0.5251, Accuracy 0.5400, TPR@5% FPR of 0.0467
Max_5.0% renyi_inf   AUC 0.4954, Accuracy 0.5433, TPR@5% FPR of 0.0400
Max_10.0% renyi_05   AUC 0.5571, Accuracy 0.5617, TPR@5% FPR of 0.0933
Max_10.0% renyi_1   AUC 0.5394, Accuracy 0.5383, TPR@5% FPR of 0.0600
Max_10.0% renyi_2   AUC 0.5305, Accuracy 0.5383, TPR@5% FPR of 0.0700
Max_10.0% renyi_inf   AUC 0.5108, Accuracy 0.5367, TPR@5% FPR of 0.0533
Max_20.0% renyi_05   AUC 0.4817, Accuracy 0.5083, TPR@5% FPR of 0.0300
Max_20.0% renyi_1   AUC 0.4720, Accuracy 0.5100, TPR@5% FPR of 0.0567
Max_20.0% renyi_2   AUC 0.4567, Accuracy 0.5083, TPR@5% FPR of 0.0533
Max_20.0% renyi_inf   AUC 0.5261, Accuracy 0.5333, TPR@5% FPR of 0.0500
Max_30.0% renyi_05   AUC 0.4308, Accuracy 0.5067, TPR@5% FPR of 0.0167
Max_30.0% renyi_1   AUC 0.4359, Accuracy 0.5133, TPR@5% FPR of 0.0200
Max_30.0% renyi_2   AUC 0.4150, Accuracy 0.5100, TPR@5% FPR of 0.0233
Max_30.0% renyi_inf   AUC 0.5274, Accuracy 0.5367, TPR@5% FPR of 0.0633
Max_40.0% renyi_05   AUC 0.4257, Accuracy 0.5017, TPR@5% FPR of 0.0167
