aug_kl   AUC 0.4151, Accuracy 0.5017, TPR@5% FPR of 0.0267
ppl   AUC 0.4863, Accuracy 0.5233, TPR@5% FPR of 0.0267
Min_0% Prob   AUC 0.3877, Accuracy 0.5017, TPR@5% FPR of 0.0167
Min_5.0% Prob   AUC 0.4455, Accuracy 0.5033, TPR@5% FPR of 0.0267
Min_10.0% Prob   AUC 0.4402, Accuracy 0.5150, TPR@5% FPR of 0.0667
Min_20.0% Prob   AUC 0.4599, Accuracy 0.5100, TPR@5% FPR of 0.0333
Min_30.0% Prob   AUC 0.4682, Accuracy 0.5100, TPR@5% FPR of 0.0333
Min_40.0% Prob   AUC 0.4463, Accuracy 0.5050, TPR@5% FPR of 0.0333
Min_50.0% Prob   AUC 0.4399, Accuracy 0.5067, TPR@5% FPR of 0.0267
Min_60.0% Prob   AUC 0.4395, Accuracy 0.5067, TPR@5% FPR of 0.0233
Min_70.0% Prob   AUC 0.4677, Accuracy 0.5250, TPR@5% FPR of 0.0333
Min_80.0% Prob   AUC 0.4709, Accuracy 0.5250, TPR@5% FPR of 0.0367
Min_90.0% Prob   AUC 0.4839, Accuracy 0.5250, TPR@5% FPR of 0.0367
Modified_entropy   AUC 0.4862, Accuracy 0.5233, TPR@5% FPR of 0.0267
Modified_renyi_05   AUC 0.4960, Accuracy 0.5217, TPR@5% FPR of 0.0333
Modified_renyi_2   AUC 0.4950, Accuracy 0.5083, TPR@5% FPR of 0.0533
Max_Prob_Gap   AUC 0.5219, Accuracy 0.5483, TPR@5% FPR of 0.0767
Max_0% renyi_05   AUC 0.5278, Accuracy 0.5367, TPR@5% FPR of 0.0800
Max_0% renyi_1   AUC 0.5245, Accuracy 0.5633, TPR@5% FPR of 0.0267
Max_0% renyi_2   AUC 0.4929, Accuracy 0.5150, TPR@5% FPR of 0.0433
Max_0% renyi_inf   AUC 0.4929, Accuracy 0.5250, TPR@5% FPR of 0.0733
Max_5.0% renyi_05   AUC 0.5528, Accuracy 0.5550, TPR@5% FPR of 0.0600
Max_5.0% renyi_1   AUC 0.5378, Accuracy 0.5500, TPR@5% FPR of 0.0667
Max_5.0% renyi_2   AUC 0.4826, Accuracy 0.5267, TPR@5% FPR of 0.0767
Max_5.0% renyi_inf   AUC 0.4895, Accuracy 0.5333, TPR@5% FPR of 0.0700
Max_10.0% renyi_05   AUC 0.5363, Accuracy 0.5467, TPR@5% FPR of 0.0433
Max_10.0% renyi_1   AUC 0.5054, Accuracy 0.5250, TPR@5% FPR of 0.0433
Max_10.0% renyi_2   AUC 0.4799, Accuracy 0.5150, TPR@5% FPR of 0.0667
Max_10.0% renyi_inf   AUC 0.4979, Accuracy 0.5333, TPR@5% FPR of 0.0600
Max_20.0% renyi_05   AUC 0.5409, Accuracy 0.5583, TPR@5% FPR of 0.0267
Max_20.0% renyi_1   AUC 0.5173, Accuracy 0.5367, TPR@5% FPR of 0.0267
Max_20.0% renyi_2   AUC 0.4919, Accuracy 0.5250, TPR@5% FPR of 0.0633
Max_20.0% renyi_inf   AUC 0.5143, Accuracy 0.5417, TPR@5% FPR of 0.1033
Max_30.0% renyi_05   AUC 0.5262, Accuracy 0.5483, TPR@5% FPR of 0.0400
Max_30.0% renyi_1   AUC 0.5190, Accuracy 0.5417, TPR@5% FPR of 0.0233
Max_30.0% renyi_2   AUC 0.4852, Accuracy 0.5167, TPR@5% FPR of 0.0400
Max_30.0% renyi_inf   AUC 0.5246, Accuracy 0.5517, TPR@5% FPR of 0.0833
Max_40.0% renyi_05   AUC 0.5171, Accuracy 0.5383, TPR@5% FPR of 0.0433
Max_40.0% renyi_1   AUC 0.5049, Accuracy 0.5333, TPR@5% FPR of 0.0367
Max_40.0% renyi_2   AUC 0.4776, Accuracy 0.5117, TPR@5% FPR of 0.0233
Max_40.0% renyi_inf   AUC 0.5185, Accuracy 0.5417, TPR@5% FPR of 0.0600
Max_50.0% renyi_05   AUC 0.5231, Accuracy 0.5433, TPR@5% FPR of 0.0533
Max_50.0% renyi_1   AUC 0.5058, Accuracy 0.5233, TPR@5% FPR of 0.0333
Max_50.0% renyi_2   AUC 0.4832, Accuracy 0.5200, TPR@5% FPR of 0.0333
Max_50.0% renyi_inf   AUC 0.5286, Accuracy 0.5450, TPR@5% FPR of 0.0433
Max_60.0% renyi_05   AUC 0.5277, Accuracy 0.5383, TPR@5% FPR of 0.0467
