aug_kl   AUC 0.6263, Accuracy 0.6047, TPR@5% FPR of 0.1689
ppl   AUC 0.4769, Accuracy 0.5118, TPR@5% FPR of 0.0405
Min_0% Prob   AUC 0.4915, Accuracy 0.5186, TPR@5% FPR of 0.0608
Min_5.0% Prob   AUC 0.4915, Accuracy 0.5186, TPR@5% FPR of 0.0608
Min_10.0% Prob   AUC 0.4738, Accuracy 0.5152, TPR@5% FPR of 0.0507
Min_20.0% Prob   AUC 0.4795, Accuracy 0.5152, TPR@5% FPR of 0.0439
Min_30.0% Prob   AUC 0.4783, Accuracy 0.5101, TPR@5% FPR of 0.0304
Min_40.0% Prob   AUC 0.4781, Accuracy 0.5118, TPR@5% FPR of 0.0608
Min_50.0% Prob   AUC 0.4808, Accuracy 0.5118, TPR@5% FPR of 0.0574
Min_60.0% Prob   AUC 0.4808, Accuracy 0.5135, TPR@5% FPR of 0.0473
Min_70.0% Prob   AUC 0.4776, Accuracy 0.5118, TPR@5% FPR of 0.0439
Min_80.0% Prob   AUC 0.4771, Accuracy 0.5118, TPR@5% FPR of 0.0473
Min_90.0% Prob   AUC 0.4759, Accuracy 0.5118, TPR@5% FPR of 0.0338
Modified_entropy   AUC 0.4769, Accuracy 0.5118, TPR@5% FPR of 0.0405
Modified_renyi_05   AUC 0.4768, Accuracy 0.5135, TPR@5% FPR of 0.0338
Modified_renyi_2   AUC 0.4789, Accuracy 0.5135, TPR@5% FPR of 0.0405
Max_Prob_Gap   AUC 0.4928, Accuracy 0.5203, TPR@5% FPR of 0.0845
Max_0% renyi_05   AUC 0.5841, Accuracy 0.5946, TPR@5% FPR of 0.1250
Max_0% renyi_1   AUC 0.5854, Accuracy 0.5929, TPR@5% FPR of 0.1047
Max_0% renyi_2   AUC 0.5724, Accuracy 0.5878, TPR@5% FPR of 0.1318
Max_0% renyi_inf   AUC 0.5191, Accuracy 0.5270, TPR@5% FPR of 0.0439
Max_5.0% renyi_05   AUC 0.5841, Accuracy 0.5946, TPR@5% FPR of 0.1250
Max_5.0% renyi_1   AUC 0.5854, Accuracy 0.5929, TPR@5% FPR of 0.1047
Max_5.0% renyi_2   AUC 0.5724, Accuracy 0.5878, TPR@5% FPR of 0.1318
Max_5.0% renyi_inf   AUC 0.5191, Accuracy 0.5270, TPR@5% FPR of 0.0439
Max_10.0% renyi_05   AUC 0.5801, Accuracy 0.5811, TPR@5% FPR of 0.1047
Max_10.0% renyi_1   AUC 0.5794, Accuracy 0.5794, TPR@5% FPR of 0.1250
Max_10.0% renyi_2   AUC 0.5749, Accuracy 0.5693, TPR@5% FPR of 0.1014
Max_10.0% renyi_inf   AUC 0.5303, Accuracy 0.5439, TPR@5% FPR of 0.0541
Max_20.0% renyi_05   AUC 0.5650, Accuracy 0.5709, TPR@5% FPR of 0.0980
Max_20.0% renyi_1   AUC 0.5761, Accuracy 0.5608, TPR@5% FPR of 0.1115
Max_20.0% renyi_2   AUC 0.5702, Accuracy 0.5743, TPR@5% FPR of 0.1047
Max_20.0% renyi_inf   AUC 0.5235, Accuracy 0.5338, TPR@5% FPR of 0.0507
Max_30.0% renyi_05   AUC 0.5628, Accuracy 0.5659, TPR@5% FPR of 0.0946
Max_30.0% renyi_1   AUC 0.5716, Accuracy 0.5625, TPR@5% FPR of 0.1081
Max_30.0% renyi_2   AUC 0.5690, Accuracy 0.5693, TPR@5% FPR of 0.0845
Max_30.0% renyi_inf   AUC 0.5233, Accuracy 0.5372, TPR@5% FPR of 0.0439
Max_40.0% renyi_05   AUC 0.5545, Accuracy 0.5591, TPR@5% FPR of 0.0912
Max_40.0% renyi_1   AUC 0.5633, Accuracy 0.5608, TPR@5% FPR of 0.1081
Max_40.0% renyi_2   AUC 0.5606, Accuracy 0.5574, TPR@5% FPR of 0.0811
Max_40.0% renyi_inf   AUC 0.5202, Accuracy 0.5304, TPR@5% FPR of 0.0439
Max_50.0% renyi_05   AUC 0.5581, Accuracy 0.5642, TPR@5% FPR of 0.0845
Max_50.0% renyi_1   AUC 0.5671, Accuracy 0.5709, TPR@5% FPR of 0.0845
Max_50.0% renyi_2   AUC 0.5688, Accuracy 0.5693, TPR@5% FPR of 0.0912
Max_50.0% renyi_inf   AUC 0.5324, Accuracy 0.5473, TPR@5% FPR of 0.0541
Max_60.0% renyi_05   AUC 0.5534, Accuracy 0.5557, TPR@5% FPR of 0.0845
Max_60.0% renyi_1   AUC 0.5639, Accuracy 0.5625, TPR@5% FPR of 0.0811
Max_60.0% renyi_2   AUC 0.5681, Accuracy 0.5591, TPR@5% FPR of 0.1081
Max_60.0% renyi_inf   AUC 0.5310, Accuracy 0.5422, TPR@5% FPR of 0.0574
Max_70.0% renyi_05   AUC 0.5378, Accuracy 0.5456, TPR@5% FPR of 0.0676
Max_70.0% renyi_1   AUC 0.5523, Accuracy 0.5524, TPR@5% FPR of 0.0845
Max_70.0% renyi_2   AUC 0.5635, Accuracy 0.5557, TPR@5% FPR of 0.1047
Max_70.0% renyi_inf   AUC 0.5140, Accuracy 0.5270, TPR@5% FPR of 0.0574
