aug_kl   AUC 0.6254, Accuracy 0.6149, TPR@5% FPR of 0.1453
ppl   AUC 0.4966, Accuracy 0.5203, TPR@5% FPR of 0.0709
Min_0% Prob   AUC 0.4359, Accuracy 0.5118, TPR@5% FPR of 0.0405
Min_5.0% Prob   AUC 0.4359, Accuracy 0.5118, TPR@5% FPR of 0.0405
Min_10.0% Prob   AUC 0.3925, Accuracy 0.5017, TPR@5% FPR of 0.0135
Min_20.0% Prob   AUC 0.4245, Accuracy 0.5068, TPR@5% FPR of 0.0372
Min_30.0% Prob   AUC 0.4303, Accuracy 0.5017, TPR@5% FPR of 0.0473
Min_40.0% Prob   AUC 0.4600, Accuracy 0.5051, TPR@5% FPR of 0.0304
Min_50.0% Prob   AUC 0.4594, Accuracy 0.5068, TPR@5% FPR of 0.0439
Min_60.0% Prob   AUC 0.4784, Accuracy 0.5135, TPR@5% FPR of 0.0473
Min_70.0% Prob   AUC 0.5016, Accuracy 0.5186, TPR@5% FPR of 0.0642
Min_80.0% Prob   AUC 0.4802, Accuracy 0.5152, TPR@5% FPR of 0.0676
Min_90.0% Prob   AUC 0.4861, Accuracy 0.5152, TPR@5% FPR of 0.0541
Modified_entropy   AUC 0.4966, Accuracy 0.5203, TPR@5% FPR of 0.0709
Modified_renyi_05   AUC 0.5282, Accuracy 0.5304, TPR@5% FPR of 0.0845
Modified_renyi_2   AUC 0.5464, Accuracy 0.5439, TPR@5% FPR of 0.0912
Max_Prob_Gap   AUC 0.4624, Accuracy 0.5152, TPR@5% FPR of 0.0372
Max_0% renyi_05   AUC 0.4855, Accuracy 0.5084, TPR@5% FPR of 0.0372
Max_0% renyi_1   AUC 0.5061, Accuracy 0.5236, TPR@5% FPR of 0.0608
Max_0% renyi_2   AUC 0.5555, Accuracy 0.5557, TPR@5% FPR of 0.0878
Max_0% renyi_inf   AUC 0.5569, Accuracy 0.5541, TPR@5% FPR of 0.0541
Max_5.0% renyi_05   AUC 0.4855, Accuracy 0.5084, TPR@5% FPR of 0.0372
Max_5.0% renyi_1   AUC 0.5061, Accuracy 0.5236, TPR@5% FPR of 0.0608
Max_5.0% renyi_2   AUC 0.5555, Accuracy 0.5557, TPR@5% FPR of 0.0878
Max_5.0% renyi_inf   AUC 0.5569, Accuracy 0.5541, TPR@5% FPR of 0.0541
Max_10.0% renyi_05   AUC 0.4840, Accuracy 0.5118, TPR@5% FPR of 0.0473
Max_10.0% renyi_1   AUC 0.5150, Accuracy 0.5236, TPR@5% FPR of 0.0709
Max_10.0% renyi_2   AUC 0.5886, Accuracy 0.5794, TPR@5% FPR of 0.0878
Max_10.0% renyi_inf   AUC 0.6000, Accuracy 0.5811, TPR@5% FPR of 0.0912
Max_20.0% renyi_05   AUC 0.5416, Accuracy 0.5422, TPR@5% FPR of 0.0676
Max_20.0% renyi_1   AUC 0.5685, Accuracy 0.5557, TPR@5% FPR of 0.1014
Max_20.0% renyi_2   AUC 0.6225, Accuracy 0.5946, TPR@5% FPR of 0.1588
Max_20.0% renyi_inf   AUC 0.6351, Accuracy 0.6199, TPR@5% FPR of 0.1081
Max_30.0% renyi_05   AUC 0.5523, Accuracy 0.5574, TPR@5% FPR of 0.0709
Max_30.0% renyi_1   AUC 0.5462, Accuracy 0.5473, TPR@5% FPR of 0.0676
Max_30.0% renyi_2   AUC 0.5626, Accuracy 0.5574, TPR@5% FPR of 0.1081
Max_30.0% renyi_inf   AUC 0.6495, Accuracy 0.6233, TPR@5% FPR of 0.1216
Max_40.0% renyi_05   AUC 0.5478, Accuracy 0.5541, TPR@5% FPR of 0.0743
Max_40.0% renyi_1   AUC 0.5530, Accuracy 0.5642, TPR@5% FPR of 0.0507
Max_40.0% renyi_2   AUC 0.5522, Accuracy 0.5541, TPR@5% FPR of 0.0878
Max_40.0% renyi_inf   AUC 0.6529, Accuracy 0.6182, TPR@5% FPR of 0.1250
Max_50.0% renyi_05   AUC 0.5434, Accuracy 0.5642, TPR@5% FPR of 0.0811
Max_50.0% renyi_1   AUC 0.5564, Accuracy 0.5625, TPR@5% FPR of 0.0642
Max_50.0% renyi_2   AUC 0.5660, Accuracy 0.5676, TPR@5% FPR of 0.0574
Max_50.0% renyi_inf   AUC 0.6416, Accuracy 0.6182, TPR@5% FPR of 0.1385
Max_60.0% renyi_05   AUC 0.5444, Accuracy 0.5524, TPR@5% FPR of 0.0743
Max_60.0% renyi_1   AUC 0.5583, Accuracy 0.5591, TPR@5% FPR of 0.0743
Max_60.0% renyi_2   AUC 0.5702, Accuracy 0.5591, TPR@5% FPR of 0.0608
Max_60.0% renyi_inf   AUC 0.6288, Accuracy 0.6182, TPR@5% FPR of 0.1351
Max_70.0% renyi_05   AUC 0.5348, Accuracy 0.5541, TPR@5% FPR of 0.0642
Max_70.0% renyi_1   AUC 0.5426, Accuracy 0.5507, TPR@5% FPR of 0.0642
Max_70.0% renyi_2   AUC 0.5506, Accuracy 0.5439, TPR@5% FPR of 0.0743
Max_70.0% renyi_inf   AUC 0.5987, Accuracy 0.5845, TPR@5% FPR of 0.1182
Max_80.0% renyi_05   AUC 0.5309, Accuracy 0.5422, TPR@5% FPR of 0.0709
Max_80.0% renyi_1   AUC 0.5468, Accuracy 0.5507, TPR@5% FPR of 0.0574
Max_80.0% renyi_2   AUC 0.5153, Accuracy 0.5338, TPR@5% FPR of 0.0777
Max_80.0% renyi_inf   AUC 0.5817, Accuracy 0.5676, TPR@5% FPR of 0.0980
Max_90.0% renyi_05   AUC 0.4998, Accuracy 0.5236, TPR@5% FPR of 0.0709
Max_90.0% renyi_1   AUC 0.5077, Accuracy 0.5270, TPR@5% FPR of 0.0709
Max_90.0% renyi_2   AUC 0.4834, Accuracy 0.5236, TPR@5% FPR of 0.0946
Max_90.0% renyi_inf   AUC 0.5469, Accuracy 0.5507, TPR@5% FPR of 0.0541
Max_100% renyi_05   AUC 0.4775, Accuracy 0.5186, TPR@5% FPR of 0.0709
Max_100% renyi_1   AUC 0.4822, Accuracy 0.5152, TPR@5% FPR of 0.0642
Max_100% renyi_2   AUC 0.4866, Accuracy 0.5236, TPR@5% FPR of 0.0878
Max_100% renyi_inf   AUC 0.5361, Accuracy 0.5439, TPR@5% FPR of 0.0574
Min_0% renyi_05   AUC 0.5216, Accuracy 0.5355, TPR@5% FPR of 0.0608
Min_0% renyi_1   AUC 0.5315, Accuracy 0.5422, TPR@5% FPR of 0.0507
Min_0% renyi_2   AUC 0.5576, Accuracy 0.5574, TPR@5% FPR of 0.0845
Min_0% renyi_inf   AUC 0.5911, Accuracy 0.5828, TPR@5% FPR of 0.0574
Min_5.0% renyi_05   AUC 0.5216, Accuracy 0.5355, TPR@5% FPR of 0.0608
Min_5.0% renyi_1   AUC 0.5315, Accuracy 0.5422, TPR@5% FPR of 0.0507
Min_5.0% renyi_2   AUC 0.5576, Accuracy 0.5574, TPR@5% FPR of 0.0845
Min_5.0% renyi_inf   AUC 0.5911, Accuracy 0.5828, TPR@5% FPR of 0.0574
Min_10.0% renyi_05   AUC 0.4196, Accuracy 0.5034, TPR@5% FPR of 0.0473
Min_10.0% renyi_1   AUC 0.4337, Accuracy 0.5068, TPR@5% FPR of 0.0439
Min_10.0% renyi_2   AUC 0.5346, Accuracy 0.5405, TPR@5% FPR of 0.0473
Min_10.0% renyi_inf   AUC 0.5040, Accuracy 0.5253, TPR@5% FPR of 0.0608
Min_20.0% renyi_05   AUC 0.3991, Accuracy 0.5017, TPR@5% FPR of 0.0270
Min_20.0% renyi_1   AUC 0.4004, Accuracy 0.5034, TPR@5% FPR of 0.0304
Min_20.0% renyi_2   AUC 0.4774, Accuracy 0.5118, TPR@5% FPR of 0.0574
Min_20.0% renyi_inf   AUC 0.4561, Accuracy 0.5118, TPR@5% FPR of 0.0304
Min_30.0% renyi_05   AUC 0.4133, Accuracy 0.5034, TPR@5% FPR of 0.0338
Min_30.0% renyi_1   AUC 0.4216, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_30.0% renyi_2   AUC 0.4609, Accuracy 0.5101, TPR@5% FPR of 0.0574
Min_30.0% renyi_inf   AUC 0.4487, Accuracy 0.5101, TPR@5% FPR of 0.0372
Min_40.0% renyi_05   AUC 0.4109, Accuracy 0.5034, TPR@5% FPR of 0.0405
Min_40.0% renyi_1   AUC 0.4141, Accuracy 0.5051, TPR@5% FPR of 0.0473
Min_40.0% renyi_2   AUC 0.4472, Accuracy 0.5101, TPR@5% FPR of 0.0574
Min_40.0% renyi_inf   AUC 0.4426, Accuracy 0.5101, TPR@5% FPR of 0.0608
Min_50.0% renyi_05   AUC 0.4257, Accuracy 0.5068, TPR@5% FPR of 0.0372
Min_50.0% renyi_1   AUC 0.4254, Accuracy 0.5101, TPR@5% FPR of 0.0507
Min_50.0% renyi_2   AUC 0.4568, Accuracy 0.5152, TPR@5% FPR of 0.0642
Min_50.0% renyi_inf   AUC 0.4377, Accuracy 0.5101, TPR@5% FPR of 0.0574
Min_60.0% renyi_05   AUC 0.4352, Accuracy 0.5084, TPR@5% FPR of 0.0473
Min_60.0% renyi_1   AUC 0.4381, Accuracy 0.5152, TPR@5% FPR of 0.0642
Min_60.0% renyi_2   AUC 0.4607, Accuracy 0.5152, TPR@5% FPR of 0.0676
Min_60.0% renyi_inf   AUC 0.4405, Accuracy 0.5084, TPR@5% FPR of 0.0642
Min_70.0% renyi_05   AUC 0.4465, Accuracy 0.5101, TPR@5% FPR of 0.0541
Min_70.0% renyi_1   AUC 0.4555, Accuracy 0.5135, TPR@5% FPR of 0.0541
Min_70.0% renyi_2   AUC 0.4700, Accuracy 0.5220, TPR@5% FPR of 0.0642
Min_70.0% renyi_inf   AUC 0.4546, Accuracy 0.5084, TPR@5% FPR of 0.0608
Min_80.0% renyi_05   AUC 0.4556, Accuracy 0.5101, TPR@5% FPR of 0.0507
Min_80.0% renyi_1   AUC 0.4583, Accuracy 0.5118, TPR@5% FPR of 0.0541
Min_80.0% renyi_2   AUC 0.4584, Accuracy 0.5169, TPR@5% FPR of 0.0743
Min_80.0% renyi_inf   AUC 0.4768, Accuracy 0.5101, TPR@5% FPR of 0.0642
Min_90.0% renyi_05   AUC 0.4720, Accuracy 0.5135, TPR@5% FPR of 0.0574
Min_90.0% renyi_1   AUC 0.4733, Accuracy 0.5152, TPR@5% FPR of 0.0574
Min_90.0% renyi_2   AUC 0.4709, Accuracy 0.5203, TPR@5% FPR of 0.0743
Min_90.0% renyi_inf   AUC 0.5100, Accuracy 0.5270, TPR@5% FPR of 0.0642
