aug_kl   AUC 0.6260, Accuracy 0.6081, TPR@5% FPR of 0.1588
ppl   AUC 0.4755, Accuracy 0.5135, TPR@5% FPR of 0.0304
Min_0% Prob   AUC 0.4337, Accuracy 0.5118, TPR@5% FPR of 0.0405
Min_5.0% Prob   AUC 0.3987, Accuracy 0.5017, TPR@5% FPR of 0.0135
Min_10.0% Prob   AUC 0.4237, Accuracy 0.5017, TPR@5% FPR of 0.0236
Min_20.0% Prob   AUC 0.4548, Accuracy 0.5118, TPR@5% FPR of 0.0372
Min_30.0% Prob   AUC 0.4516, Accuracy 0.5084, TPR@5% FPR of 0.0439
Min_40.0% Prob   AUC 0.4659, Accuracy 0.5101, TPR@5% FPR of 0.0338
Min_50.0% Prob   AUC 0.4678, Accuracy 0.5101, TPR@5% FPR of 0.0236
Min_60.0% Prob   AUC 0.4745, Accuracy 0.5152, TPR@5% FPR of 0.0270
Min_70.0% Prob   AUC 0.4741, Accuracy 0.5135, TPR@5% FPR of 0.0338
Min_80.0% Prob   AUC 0.4773, Accuracy 0.5118, TPR@5% FPR of 0.0473
Min_90.0% Prob   AUC 0.4753, Accuracy 0.5118, TPR@5% FPR of 0.0439
Modified_entropy   AUC 0.4755, Accuracy 0.5118, TPR@5% FPR of 0.0304
Modified_renyi_05   AUC 0.4782, Accuracy 0.5101, TPR@5% FPR of 0.0338
Modified_renyi_2   AUC 0.4806, Accuracy 0.5118, TPR@5% FPR of 0.0439
Max_Prob_Gap   AUC 0.4831, Accuracy 0.5084, TPR@5% FPR of 0.0541
Max_0% renyi_05   AUC 0.5845, Accuracy 0.5946, TPR@5% FPR of 0.1216
Max_0% renyi_1   AUC 0.5874, Accuracy 0.5929, TPR@5% FPR of 0.1723
Max_0% renyi_2   AUC 0.5729, Accuracy 0.5878, TPR@5% FPR of 0.1284
Max_0% renyi_inf   AUC 0.5177, Accuracy 0.5270, TPR@5% FPR of 0.0507
Max_5.0% renyi_05   AUC 0.5814, Accuracy 0.5878, TPR@5% FPR of 0.0980
Max_5.0% renyi_1   AUC 0.5888, Accuracy 0.5912, TPR@5% FPR of 0.1081
Max_5.0% renyi_2   AUC 0.5988, Accuracy 0.5946, TPR@5% FPR of 0.1486
Max_5.0% renyi_inf   AUC 0.5412, Accuracy 0.5490, TPR@5% FPR of 0.0507
Max_10.0% renyi_05   AUC 0.5728, Accuracy 0.5878, TPR@5% FPR of 0.0980
Max_10.0% renyi_1   AUC 0.5828, Accuracy 0.5895, TPR@5% FPR of 0.1486
Max_10.0% renyi_2   AUC 0.6000, Accuracy 0.5878, TPR@5% FPR of 0.1351
Max_10.0% renyi_inf   AUC 0.5580, Accuracy 0.5574, TPR@5% FPR of 0.0811
